id_luminaria,fecha_instalacion,horas_uso_acumuladas,porcentaje_vida_consumida,vida_util_real_calculada,ciclos_acumulados,temperatura_promedio_c,humedad_promedio_pct,voltaje_promedio_v,dias_restantes_estimados,dias_restantes_predichos,horas_restantes_estimadas,nivel_riesgo,prioridad_mantenimiento,estado_actual,fecha_falla,fecha_cambio,motivo_cambio,prob_falla_alto,prob_falla_medio,prob_falla_bajo
LED-00011,2020-04-13,51120,155.55,32864,4260,23.8320573443279,63.13811040057837,218.44426791040453,-761.0,,-18256,REEMPLAZADO,0,REEMPLAZADO,2023-10-24,2023-10-25,FALLA,0.0,0.0,0.0
LED-00012,2023-07-20,22488,52.94,42482,1874,24.90482740700475,58.69894380482674,219.9853881491159,833.0,823.4780734471697,19994,BAJO,5,OPERATIVO,,,,0.0,0.0,1.0
LED-00013,2022-09-10,30000,92.41,32462,2500,23.100459770841702,66.6163822772898,220.8332895509717,103.0,107.74855988592977,2462,ALTO,3,OPERATIVO,,,,0.0180080564394084,0.018943396226415,0.9630485473341764
LED-00014,2021-09-05,38880,118.21,32889,3240,22.49021758055597,63.12901539863683,220.9627735781864,-250.0,,-5991,REEMPLAZADO,0,REEMPLAZADO,2025-03-28,2025-04-02,FALLA,0.0,0.0,0.0
LED-00015,2022-05-19,32736,168.2,19462,2728,23.091283290110244,49.4306794322898,221.0514241469882,-553.0,,-13274,REEMPLAZADO,0,REEMPLAZADO,2024-04-10,2024-04-16,FALLA,0.0,0.0,0.0
LED-00016,2021-09-12,38712,99.57,38877,3226,24.04440910834439,46.86394496474868,218.4618794589728,7.0,,165,REEMPLAZADO,0,REEMPLAZADO,2025-09-14,2025-09-17,FALLA,0.0,0.0,0.0
LED-00017,2021-06-15,40848,115.22,35452,3404,24.97168472150174,64.11016230697344,219.1194203533162,-225.0,,-5396,REEMPLAZADO,0,REEMPLAZADO,2025-03-23,2025-03-24,FALLA,0.0,0.0,0.0
LED-00018,2021-08-28,39072,103.93,37594,3256,25.168730399387947,49.54010424915592,218.6603115471661,-62.0,,-1478,REEMPLAZADO,0,REEMPLAZADO,2025-10-01,2025-10-02,FALLA,0.0,0.0,0.0
LED-00019,2023-05-06,24288,68.07,35680,2024,18.055617044249527,55.32241907732697,220.50446601889269,475.0,474.4219637675428,11392,BAJO,4,OPERATIVO,,,,0.0,0.0093123772102161,0.990687622789784
LED-00020,2020-07-30,48528,183.34,26468,4044,25.543277631300157,49.696087960622656,221.1127437304602,-919.0,,-22060,REEMPLAZADO,0,REEMPLAZADO,2023-04-11,2023-04-15,FALLA,0.0,0.0,0.0
LED-00021,2021-06-18,40776,117.85,34601,3398,20.014258366602917,54.91745517677156,219.80526985890063,-257.0,-280.9292687496365,-6175,ALTO,2,OPERATIVO,,,,0.9535635427081052,0.0350172624779633,0.0114191948139314
LED-00022,2021-12-10,36576,75.54,48421,3048,22.87651467183917,55.08037069686584,218.30887250749996,494.0,485.00549547086194,11845,MEDIO,4,OPERATIVO,,,,0.0095468277945619,0.0,0.990453172205438
LED-00023,2020-02-13,52560,145.73,36066,4380,25.885203632884807,47.26165814534501,222.0328132844353,-687.0,,-16494,REEMPLAZADO,0,REEMPLAZADO,2023-11-16,2023-11-19,FALLA,0.0,0.0,0.0
LED-00024,2021-07-23,39936,119.02,33553,3328,20.942265061754025,58.96917491780738,221.80117826456535,-266.0,,-6383,REEMPLAZADO,0,REEMPLAZADO,2025-03-04,2025-03-08,FALLA,0.0,0.0,0.0
LED-00025,2019-08-21,56784,172.11,32993,4732,18.32620113243811,57.72678829564725,222.0653861710537,-991.0,,-23791,REEMPLAZADO,0,REEMPLAZADO,2022-12-04,2022-12-09,FALLA,0.0,0.0,0.0
LED-00026,2019-11-17,54672,143.91,37991,4556,23.1613823232756,45.23099287014974,222.1456264286148,-695.0,,-16681,REEMPLAZADO,0,REEMPLAZADO,2023-09-09,2023-09-10,FALLA,0.0,0.0,0.0
LED-00027,2021-12-18,36384,86.12,42250,3032,18.907788169924714,67.74080854835688,223.26403612028588,244.0,246.0934369518921,5866,MEDIO,3,OPERATIVO,,,,0.0,0.0198223174370689,0.9801776825629313
LED-00028,2022-04-13,33600,109.75,30615,2800,22.4416064927957,55.889517350680194,219.45111374540272,-124.0,,-2985,REEMPLAZADO,0,REEMPLAZADO,2025-08-14,2025-08-17,FALLA,0.0,0.0,0.0
LED-00029,2021-06-15,40848,116.18,35159,3404,25.17688207962062,66.61259272795351,222.67925327514573,-237.0,,-5689,REEMPLAZADO,0,REEMPLAZADO,2025-03-29,2025-04-01,FALLA,0.0,0.0,0.0
LED-00030,2020-01-09,53400,118.53,45051,4450,25.188433508216637,58.1928717897877,218.05518230969977,-348.0,,-8349,REEMPLAZADO,0,REEMPLAZADO,2024-07-01,2024-07-03,FALLA,0.0,0.0,0.0
LED-00031,2022-09-03,30168,88.67,34024,2514,23.535161581541544,59.55883778507801,219.34561585676332,161.0,166.12954797872868,3856,MEDIO,3,OPERATIVO,,,,0.0,0.008943396226415,0.9910566037735848
LED-00032,2022-05-30,32472,93.63,34679,2706,23.971931240944198,59.48898697141644,223.09534046296503,92.0,,2207,REEMPLAZADO,0,REEMPLAZADO,2025-12-09,2025-12-15,FALLA,0.0,0.0,0.0
LED-00033,2019-08-26,56664,139.41,40644,4722,19.951917147032667,69.19031664257336,220.35858634800056,-668.0,,-16020,REEMPLAZADO,0,REEMPLAZADO,2023-10-01,2023-10-06,FALLA,0.0,0.0,0.0
LED-00034,2019-12-14,54024,119.11,45355,4502,22.021096744841536,57.30711653879077,220.9551061629132,-361.0,,-8669,REEMPLAZADO,0,REEMPLAZADO,2024-11-18,2024-11-24,FALLA,0.0,0.0,0.0
LED-00035,2020-01-10,53376,124.17,42986,4448,19.41688543525639,68.21375753058743,223.7235714620155,-433.0,,-10390,REEMPLAZADO,0,REEMPLAZADO,2024-08-08,2024-08-09,FALLA,0.0,0.0,0.0
LED-00036,2022-03-19,34200,97.62,35033,2850,25.4265485007018,52.84552444951943,223.799928914262,35.0,,833,REEMPLAZADO,0,REEMPLAZADO,2025-08-13,2025-08-18,FALLA,0.0,0.0,0.0
LED-00037,2021-06-16,40824,117.06,34873,3402,22.4544100996668,68.08464322482342,222.17617878004984,-248.0,,-5951,REEMPLAZADO,0,REEMPLAZADO,2024-12-04,2024-12-10,FALLA,0.0,0.0,0.0
LED-00038,2019-12-31,53616,188.14,28498,4468,25.920430800834104,44.20252045709572,221.1099779141824,-1047.0,,-25118,REEMPLAZADO,0,REEMPLAZADO,2023-01-08,2023-01-15,FALLA,0.0,0.0,0.0
LED-00039,2022-05-10,32952,81.7,40331,2746,20.87592920975804,48.8077553279348,222.85616693287108,307.0,293.11266808429184,7379,MEDIO,3,OPERATIVO,,,,0.0,0.0294640393798439,0.970535960620156
LED-00040,2023-04-10,24912,58.99,42229,2076,25.30592442045177,55.34027196582814,221.0090977681232,722.0,721.8253542760899,17317,BAJO,5,OPERATIVO,,,,0.0,0.0,1.0
LED-00041,2023-05-29,23736,53.16,44649,1978,25.12004273454053,50.13985470554607,220.25349771583967,871.0,869.0396626858505,20913,BAJO,5,OPERATIVO,,,,0.0,0.008943396226415,0.9910566037735848
LED-00042,2021-05-03,41880,106.48,39332,3490,21.72478414505968,56.2793390412273,219.7192475127697,-106.0,,-2548,REEMPLAZADO,0,REEMPLAZADO,2025-03-03,2025-03-05,FALLA,0.0,0.0,0.0
LED-00043,2022-05-27,32544,95.35,34129,2712,20.881525131290104,43.81181537955654,221.1334595603288,66.0,53.79790219747414,1585,ALTO,3,OPERATIVO,,,,0.0131912938791027,0.7955657721156248,0.1912429340052722
LED-00044,2020-05-28,50040,147.81,33853,4170,18.682779719950144,41.55045163505823,221.1881277894089,-674.0,,-16187,REEMPLAZADO,0,REEMPLAZADO,2024-01-01,2024-01-03,FALLA,0.0,0.0,0.0
LED-00045,2021-10-27,37632,77.45,48588,3136,22.13040278640956,49.68869418823738,222.77111716861225,456.0,446.8104767254597,10956,MEDIO,4,OPERATIVO,,,,0.0,0.009883236030025,0.9901167639699752
LED-00046,2020-10-14,46704,108.63,42995,3892,18.20280594732366,68.87945244033776,223.0158807230732,-155.0,,-3709,REEMPLAZADO,0,REEMPLAZADO,2025-01-02,2025-01-05,FALLA,0.0,0.0,0.0
LED-00047,2019-12-25,53760,166.63,32263,4480,22.393813317648963,61.437877681001865,221.9611842603064,-896.0,,-21497,REEMPLAZADO,0,REEMPLAZADO,2023-03-25,2023-03-27,FALLA,0.0,0.0,0.0
LED-00048,2022-02-06,35184,73.45,47902,2932,23.903175333566143,56.63062157534202,221.67032447740613,530.0,531.941040720491,12718,MEDIO,4,OPERATIVO,,,,0.0,0.0,1.0
LED-00049,2020-06-09,49752,175.74,28309,4146,18.92858112405533,41.38007926065258,218.24437281391383,-893.0,,-21443,REEMPLAZADO,0,REEMPLAZADO,2023-03-10,2023-03-15,FALLA,0.0,0.0,0.0
LED-00050,2020-04-22,50904,141.92,35868,4242,18.782673285208013,54.74847625350497,220.8408306246834,-626.0,,-15036,REEMPLAZADO,0,REEMPLAZADO,2024-01-14,2024-01-15,FALLA,0.0,0.0,0.0
LED-00051,2020-04-24,50856,138.6,36693,4238,18.362432078176354,51.238378438794136,221.7551594942854,-590.0,,-14163,REEMPLAZADO,0,REEMPLAZADO,2024-03-19,2024-03-25,FALLA,0.0,0.0,0.0
LED-00052,2022-05-10,32952,109.26,30158,2746,19.30347541665144,42.11706242201289,221.85451566923788,-116.0,,-2794,REEMPLAZADO,0,REEMPLAZADO,2025-07-28,2025-08-01,FALLA,0.0,0.0,0.0
LED-00053,2022-10-23,28968,84.18,34411,2414,21.105359409652173,59.29864655327059,220.7495173429491,227.0,228.7940881049437,5443,MEDIO,3,OPERATIVO,,,,0.0,0.0187621429897501,0.98123785701025
LED-00054,2023-01-28,26640,75.35,35356,2220,21.088821102406197,68.83571691471742,223.4321038517364,363.0,390.5080688990911,8716,MEDIO,4,OPERATIVO,,,,0.0,0.0,1.0
LED-00055,2022-12-21,27552,80.52,34217,2296,24.75900248775564,40.698158072074776,222.8868108955336,278.0,285.8189441358346,6665,MEDIO,3,OPERATIVO,,,,0.0,0.0178867924528301,0.9821132075471698
LED-00056,2022-09-09,30024,87.51,34309,2502,23.03154277423907,66.3241604058116,222.4104262628233,179.0,185.92182667751135,4285,MEDIO,3,OPERATIVO,,,,0.0,0.0187621429897501,0.98123785701025
LED-00057,2021-03-21,42912,146.77,29236,3576,25.924041136005386,52.37853030734279,220.2321085147567,-570.0,,-13676,REEMPLAZADO,0,REEMPLAZADO,2024-05-27,2024-06-02,FALLA,0.0,0.0,0.0
LED-00058,2021-06-05,41088,91.08,45109,3424,24.86730201474409,52.86982082125055,222.505226406749,168.0,178.7186608711943,4021,ALTO,3,OPERATIVO,,,,0.0275837948857728,0.008943396226415,0.963472808887812
LED-00059,2020-12-17,45168,120.01,37636,3764,20.560396808244896,66.86569685488601,220.33521007240495,-314.0,,-7532,REEMPLAZADO,0,REEMPLAZADO,2025-01-26,2025-02-02,FALLA,0.0,0.0,0.0
LED-00060,2020-06-25,49368,131.9,37428,4114,20.55450910072332,68.50185901152415,223.7036428816253,-498.0,,-11940,REEMPLAZADO,0,REEMPLAZADO,2024-02-29,2024-03-05,FALLA,0.0,0.0,0.0
LED-00061,2023-07-10,22728,49.72,45708,1894,20.62931636295933,60.175553682311154,222.51424717662607,958.0,946.3668276355976,22980,BAJO,5,OPERATIVO,,,,0.0,0.0,1.0
LED-00062,2022-12-11,27792,60.92,45621,2316,18.72964882438952,54.83260914107744,218.34535256009983,743.0,750.9547175452443,17829,BAJO,4,OPERATIVO,,,,0.0095468277945619,0.0,0.990453172205438
LED-00063,2020-07-29,48552,201.24,24126,4046,19.143933456422687,62.84531895152416,221.7093083798976,-1018.0,,-24426,REEMPLAZADO,0,REEMPLAZADO,2022-12-15,2022-12-22,FALLA,0.0,0.0,0.0
LED-00064,2019-12-29,53664,124.51,43100,4472,18.58210405091355,64.65580177871068,222.23745336293896,-440.0,,-10564,REEMPLAZADO,0,REEMPLAZADO,2024-08-14,2024-08-20,FALLA,0.0,0.0,0.0
LED-00065,2021-12-09,36600,74.25,49292,3050,24.027025482071533,51.287787565927474,218.501004300192,529.0,512.4372730372733,12692,MEDIO,4,OPERATIVO,,,,0.0095468277945619,0.0,0.990453172205438
LED-00066,2021-01-15,44472,121.4,36633,3706,25.250835080757888,43.33592446918454,220.9557506257452,-327.0,,-7839,REEMPLAZADO,0,REEMPLAZADO,2024-10-27,2024-10-29,FALLA,0.0,0.0,0.0
LED-00067,2022-02-09,35112,93.58,37522,2926,23.19368241692851,62.3813463779627,221.50021259058292,100.0,,2410,REEMPLAZADO,0,REEMPLAZADO,2025-10-23,2025-10-30,FALLA,0.0,0.0,0.0
LED-00068,2022-08-02,30936,95.8,32293,2578,24.948793025515684,46.70787515558358,223.77933523664367,57.0,,1357,REEMPLAZADO,0,REEMPLAZADO,2025-11-07,2025-11-13,FALLA,0.0,0.0,0.0
LED-00069,2022-12-28,27384,73.1,37462,2282,25.754420284952797,55.69293532510447,221.7763918288116,420.0,436.3712274340568,10078,MEDIO,4,OPERATIVO,,,,0.0,0.0098544698544698,0.9901455301455302
LED-00070,2021-11-29,36840,105.19,35023,3070,22.6745144953848,67.03474031472967,218.2726782820488,-76.0,,-1817,REEMPLAZADO,0,REEMPLAZADO,2025-08-19,2025-08-26,FALLA,0.0,0.0,0.0
LED-00071,2020-09-27,47112,138.71,33964,3926,21.709587239519852,50.60056684078158,221.50193667110523,-548.0,,-13148,REEMPLAZADO,0,REEMPLAZADO,2024-02-16,2024-02-18,FALLA,0.0,0.0,0.0
LED-00072,2022-09-23,29688,71.45,41550,2474,25.889685955836825,60.94485142059236,221.21657819806472,494.0,494.3635523390314,11862,MEDIO,4,OPERATIVO,,,,0.0,0.0,1.0
LED-00073,2022-09-06,30096,64.77,46466,2508,25.28741747595074,64.67611728769506,223.6987994797516,682.0,690.216471832544,16370,BAJO,4,OPERATIVO,,,,0.0,0.0098956158663883,0.9901043841336116
LED-00074,2020-08-11,48240,138.92,34724,4020,25.461827866832103,65.98191668501225,218.27131202063717,-563.0,,-13516,REEMPLAZADO,0,REEMPLAZADO,2024-03-11,2024-03-14,FALLA,0.0,0.0,0.0
LED-00075,2020-03-24,51600,156.01,33073,4300,19.203335128828225,57.82392146056405,220.28534513978613,-772.0,-762.9300071774212,-18527,ALTO,1,OPERATIVO,,,,0.9715470888125222,0.0174390956115468,0.0110138155759309
LED-00076,2023-06-24,23112,59.52,38831,1926,24.706629637689105,54.06079479384911,220.488917014026,655.0,664.9319237209412,15719,BAJO,5,OPERATIVO,,,,0.0,0.0,1.0
LED-00077,2021-07-20,40008,99.03,40399,3334,25.997741386289043,69.89910511221716,221.33259023361575,16.0,19.071032773594546,391,ALTO,3,OPERATIVO,,,,0.9023271353622112,0.0567671621900582,0.0409057024477306
LED-00078,2021-11-11,37272,106.89,34870,3106,19.97878481394558,53.5163240593028,218.77495649090895,-100.0,,-2402,REEMPLAZADO,0,REEMPLAZADO,2025-09-06,2025-09-09,FALLA,0.0,0.0,0.0
LED-00079,2022-03-27,34008,86.67,39237,2834,22.945025923663167,50.74488154098522,218.6813455531978,218.0,223.74321704138333,5229,MEDIO,3,OPERATIVO,,,,0.0257343343452379,0.0198103614738775,0.9544553041808844
LED-00080,2023-02-22,26040,68.38,38079,2170,24.178547133885115,55.6049050333598,223.11308900191125,502.0,485.9637641250596,12039,BAJO,4,OPERATIVO,,,,0.0,0.0,1.0
LED-00081,2020-11-10,46056,81.43,56561,3838,19.072121827605127,40.86348028940017,222.5308235340417,438.0,434.8329651420714,10505,MEDIO,3,OPERATIVO,,,,0.0093353028064992,0.0093123772102161,0.9813523199832846
LED-00082,2020-08-07,48336,105.98,45607,4028,19.09097180469416,40.43633997003646,220.1035253528396,-114.0,,-2729,REEMPLAZADO,0,REEMPLAZADO,2025-03-01,2025-03-04,FALLA,0.0,0.0,0.0
LED-00083,2022-11-13,28464,121.74,23381,2372,22.111915913278487,63.50959038223429,220.37925669392763,-212.0,,-5083,REEMPLAZADO,0,REEMPLAZADO,2025-04-03,2025-04-08,FALLA,0.0,0.0,0.0
LED-00084,2020-07-03,49176,103.85,47353,4098,19.1765878474323,67.79762875484484,220.95269775847723,-76.0,,-1823,REEMPLAZADO,0,REEMPLAZADO,2025-10-05,2025-10-11,FALLA,0.0,0.0,0.0
LED-00085,2020-08-17,48096,121.46,39599,4008,23.06720683453381,47.2043685633458,218.455179968652,-354.0,,-8497,REEMPLAZADO,0,REEMPLAZADO,2024-08-28,2024-09-01,FALLA,0.0,0.0,0.0
LED-00086,2021-03-19,42960,187.07,22964,3580,19.110617381195283,59.226242344096434,219.09128050639487,-833.0,,-19996,REEMPLAZADO,0,REEMPLAZADO,2023-06-29,2023-07-02,FALLA,0.0,0.0,0.0
LED-00087,2020-07-24,48672,132.79,36652,4056,19.53831215046937,41.226058487994365,219.013610378433,-501.0,,-12020,REEMPLAZADO,0,REEMPLAZADO,2024-03-17,2024-03-18,FALLA,0.0,0.0,0.0
LED-00088,2019-09-20,56064,177.34,31613,4672,18.965086968804805,53.823363040981775,219.23800231043475,-1019.0,,-24451,REEMPLAZADO,0,REEMPLAZADO,2022-10-28,2022-10-29,FALLA,0.0,0.0,0.0
LED-00089,2021-11-02,37488,91.76,40856,3124,23.023203115927263,42.45277095846616,223.24147174464068,140.0,138.71216595463295,3368,ALTO,3,OPERATIVO,,,,0.0084042553191489,0.0490222559056607,0.9425734887751904
LED-00090,2019-10-27,55176,230.14,23975,4598,24.44961023834449,62.44779071150976,219.10712611613823,-1300.0,,-31201,REEMPLAZADO,0,REEMPLAZADO,2022-03-30,2022-04-02,FALLA,0.0,0.0,0.0
LED-00091,2021-02-16,43704,130.97,33369,3642,21.700277729065185,62.4241281440127,218.2200992173436,-431.0,,-10335,REEMPLAZADO,0,REEMPLAZADO,2024-07-18,2024-07-21,FALLA,0.0,0.0,0.0
LED-00092,2021-01-20,44352,171.19,25907,3696,22.093419536925328,55.96340455795947,218.64303206803865,-769.0,,-18445,REEMPLAZADO,0,REEMPLAZADO,2023-11-29,2023-12-03,FALLA,0.0,0.0,0.0
LED-00093,2022-04-29,33216,67.76,49017,2768,21.01827330483698,40.6021359333318,219.93247499349903,658.0,641.4806005556096,15801,BAJO,4,OPERATIVO,,,,0.0,0.0194063662878406,0.9805936337121594
LED-00094,2023-06-20,23208,108.55,21380,1934,25.12421824591916,57.80777360662146,222.07461391486692,-76.0,,-1828,REEMPLAZADO,0,REEMPLAZADO,2025-07-30,2025-08-03,FALLA,0.0,0.0,0.0
LED-00095,2022-04-18,33480,92.97,36013,2790,22.694728944167032,62.3631842255299,220.5899572773781,106.0,107.88176423555804,2533,ALTO,3,OPERATIVO,,,,0.0035451558618479,0.0734756454456616,0.9229791986924905
LED-00096,2023-07-19,22512,49.06,45888,1876,20.90465837118908,59.377517239948034,221.42466982801344,974.0,946.8427812099944,23376,BAJO,5,OPERATIVO,,,,0.0,0.0098544698544698,0.9901455301455302
LED-00097,2020-01-18,53184,187.8,28319,4432,19.285450986076444,45.59701072153917,219.7105710121631,-1036.0,,-24865,REEMPLAZADO,0,REEMPLAZADO,2022-11-23,2022-11-28,FALLA,0.0,0.0,0.0
LED-00098,2023-03-17,25488,60.64,42030,2124,18.64186996529314,55.73534168710764,220.462380961938,689.0,688.3108527874226,16542,BAJO,4,OPERATIVO,,,,0.0,0.0,1.0
LED-00099,2021-09-25,38400,106.42,36084,3200,19.367100699120527,60.05929659773293,223.57625593476556,-96.0,,-2316,REEMPLAZADO,0,REEMPLAZADO,2025-05-15,2025-05-20,FALLA,0.0,0.0,0.0
LED-00100,2022-04-02,33864,86.3,39240,2822,20.23983274928227,63.084787995758106,219.12226249134517,224.0,223.37473171646124,5376,MEDIO,3,OPERATIVO,,,,0.007783251231527,0.0288330975530205,0.9633836512154524
LED-00101,2020-11-11,46032,137.14,33566,3836,22.88496033953306,48.65891659720767,221.48742932853568,-519.0,,-12466,REEMPLAZADO,0,REEMPLAZADO,2024-03-04,2024-03-11,FALLA,0.0,0.0,0.0
LED-00102,2022-11-05,28656,111.47,25708,2388,18.414588294579417,50.098128345817614,218.80648806163384,-123.0,,-2948,REEMPLAZADO,0,REEMPLAZADO,2025-07-16,2025-07-17,FALLA,0.0,0.0,0.0
LED-00103,2020-05-20,50232,117.91,42602,4186,22.76510992486276,54.14728565650475,220.4710454848836,-318.0,,-7630,REEMPLAZADO,0,REEMPLAZADO,2024-12-29,2025-01-02,FALLA,0.0,0.0,0.0
LED-00104,2022-03-23,34104,102.4,33305,2842,24.644955262301835,68.95080731999538,218.74578334091328,-33.0,-40.946400872400126,-799,ALTO,2,OPERATIVO,,,,0.8471941342635553,0.1073589128667186,0.0454469528697261
LED-00105,2021-04-21,42168,124.04,33996,3514,22.59578490543929,65.25486330274816,218.83863425975773,-340.0,,-8172,REEMPLAZADO,0,REEMPLAZADO,2024-12-21,2024-12-27,FALLA,0.0,0.0,0.0
LED-00106,2023-01-16,26928,64.8,41557,2244,19.30924754292564,44.92797393792979,222.8874483213883,610.0,611.6386851577068,14629,BAJO,4,OPERATIVO,,,,0.0,0.008943396226415,0.9910566037735848
LED-00107,2021-08-07,39576,103.06,38402,3298,24.532795515772616,53.17404725710655,220.26166657654943,-49.0,,-1174,REEMPLAZADO,0,REEMPLAZADO,2025-07-18,2025-07-23,FALLA,0.0,0.0,0.0
LED-00108,2020-12-19,45120,84.84,53183,3760,23.98087504141001,55.08161170277437,219.3932761708809,336.0,338.16869112447193,8063,MEDIO,3,OPERATIVO,,,,0.0191795395666238,0.008943396226415,0.9718770642069612
LED-00109,2023-04-14,24816,75.46,32885,2068,22.993903967311937,43.50694122125092,223.63899274168085,336.0,327.50064343458064,8069,MEDIO,4,OPERATIVO,,,,0.0,0.0096211096075778,0.9903788903924222
LED-00110,2019-12-18,53928,124.9,43177,4494,24.352201514162367,58.60218267785541,221.20076655185792,-448.0,,-10751,REEMPLAZADO,0,REEMPLAZADO,2024-03-27,2024-04-02,FALLA,0.0,0.0,0.0
LED-00111,2021-04-30,41952,106.71,39313,3496,23.951570340581416,41.00597304207338,221.4193381092279,-110.0,,-2639,REEMPLAZADO,0,REEMPLAZADO,2025-04-14,2025-04-21,FALLA,0.0,0.0,0.0
LED-00112,2022-12-22,27528,69.05,39866,2294,20.73665398972726,64.63771914016039,218.66379042173125,514.0,502.1512075892936,12338,BAJO,4,OPERATIVO,,,,0.0095468277945619,0.008943396226415,0.981509775979023
LED-00113,2022-07-09,31512,67.22,46876,2626,23.77802054714453,61.60109609638224,221.84688579731176,640.0,622.014314439627,15364,BAJO,4,OPERATIVO,,,,0.0,0.0098956158663883,0.9901043841336116
LED-00114,2022-10-19,29064,81.81,35524,2422,20.014392471255626,50.37087980511758,219.08958630080852,269.0,275.084773715494,6460,MEDIO,3,OPERATIVO,,,,0.0,0.0376614308355729,0.9623385691644272
LED-00115,2022-01-09,35856,90.47,39632,2988,25.57826671689452,44.6005420934824,221.5173789921008,157.0,159.7537801689297,3776,ALTO,3,OPERATIVO,,,,0.0069284679534865,0.0712041380463629,0.9218673940001506
LED-00116,2023-03-01,25872,59.46,43513,2156,18.144881470566723,66.16371726832455,223.59270969490169,735.0,727.3367550021848,17641,BAJO,5,OPERATIVO,,,,0.0,0.0,1.0
LED-00117,2020-07-01,49224,91.56,53762,4102,19.22031234331409,57.2886508050044,221.64029027829716,189.0,190.98917055974792,4538,ALTO,3,OPERATIVO,,,,0.0389477003085095,0.0099267015706806,0.95112559812081
LED-00118,2019-12-06,54216,124.81,43438,4518,25.40454810325421,53.52518114212396,218.67942827504453,-449.0,,-10778,REEMPLAZADO,0,REEMPLAZADO,2024-09-28,2024-10-03,FALLA,0.0,0.0,0.0
LED-00119,2023-07-03,22896,69.26,33056,1908,18.43809311057625,50.05591724937703,222.8171206915881,423.0,428.92017842521545,10160,BAJO,4,OPERATIVO,,,,0.0,0.0185645058339929,0.9814354941660072
LED-00120,2022-04-05,33792,92.21,36646,2816,22.299164823503386,67.59566849238281,220.07807596619577,119.0,,2854,REEMPLAZADO,0,REEMPLAZADO,2026-01-10,2026-01-13,FALLA,0.0,0.0,0.0
LED-00121,2020-11-11,46032,95.12,48395,3836,19.1268561630384,45.2916095951867,220.99020663643688,98.0,,2363,REEMPLAZADO,0,REEMPLAZADO,2025-11-17,2025-11-21,FALLA,0.0,0.0,0.0
LED-00122,2021-05-03,41880,131.12,31940,3490,22.64470680222435,58.96792863758591,218.07856673953,-414.0,,-9940,REEMPLAZADO,0,REEMPLAZADO,2024-08-08,2024-08-13,FALLA,0.0,0.0,0.0
LED-00123,2022-08-30,30264,108.77,27823,2522,18.68279734462915,69.90622755537842,221.01317006198747,-102.0,,-2441,REEMPLAZADO,0,REEMPLAZADO,2025-07-12,2025-07-15,FALLA,0.0,0.0,0.0
LED-00124,2021-05-25,41352,96.29,42946,3446,19.679244744764688,66.94162868322141,219.23083784289204,66.0,,1594,REEMPLAZADO,0,REEMPLAZADO,2026-01-14,2026-01-21,FALLA,0.0,0.0,0.0
