id_luminaria,piso,area,ubicacion_especifica,tipo_led,marca,potencia_watts,vida_util_nominal,fecha_instalacion,criticidad,horas_operacion_dia,vida_util_real_calculada,horas_uso_acumuladas,porcentaje_vida_consumida,ciclos_encendido_dia,ciclos_acumulados,temperatura_promedio_c,humedad_promedio_pct,voltaje_promedio_v,fecha_falla,fecha_cambio,motivo_cambio,estado_actual,dias_desde_instalacion,horas_restantes_estimadas,dias_restantes_estimados,nivel_riesgo,prioridad_mantenimiento
LED-00011,Piso -2,Estacionamiento,Estacionamiento - Sector 2,LED Tubo T8,Philips,18,40000,2020-04-13,BAJA,24,32864,51120,155.55,2,4260,23.8320573443279,63.13811040057837,218.44426791040453,2023-10-24,2023-10-25,FALLA,REEMPLAZADO,2130,-18256,-761.0,REEMPLAZADO,0
LED-00012,Piso -2,Estacionamiento,Estacionamiento - Sector 2,LED Tubo T8,Osram,18,40000,2023-07-20,BAJA,24,42482,22488,52.94,2,1874,24.90482740700475,58.69894380482674,219.9853881491159,,,,OPERATIVO,937,19994,833.0,BAJO,5
LED-00013,Piso -2,Estacionamiento,Estacionamiento - Sector 2,LED Tubo T8,Genérico A,18,40000,2022-09-10,BAJA,24,32462,30000,92.41,2,2500,23.100459770841706,66.6163822772898,220.8332895509717,,,,OPERATIVO,1250,2462,103.0,ALTO,3
LED-00014,Piso -2,Estacionamiento,Estacionamiento - Sector 2,LED Tubo T8,LG,18,40000,2021-09-05,BAJA,24,32889,38880,118.21,2,3240,22.49021758055597,63.12901539863683,220.96277357818636,2025-03-28,2025-04-02,FALLA,REEMPLAZADO,1620,-5991,-250.0,REEMPLAZADO,0
LED-00015,Piso -2,Estacionamiento,Estacionamiento - Sector 2,LED Tubo T8,Osram,18,40000,2022-05-19,BAJA,24,19462,32736,168.2,2,2728,23.091283290110244,49.4306794322898,221.0514241469882,2024-04-10,2024-04-16,FALLA,REEMPLAZADO,1364,-13274,-553.0,REEMPLAZADO,0
LED-00016,Piso -2,Estacionamiento,Estacionamiento - Sector 2,LED Tubo T8,Genérico B,18,40000,2021-09-12,BAJA,24,38877,38712,99.57,2,3226,24.04440910834439,46.863944964748676,218.46187945897276,2025-09-14,2025-09-17,FALLA,REEMPLAZADO,1613,165,7.0,REEMPLAZADO,0
LED-00017,Piso -2,Estacionamiento,Estacionamiento - Sector 2,LED Tubo T8,Philips,18,40000,2021-06-15,BAJA,24,35452,40848,115.22,2,3404,24.97168472150174,64.11016230697344,219.1194203533162,2025-03-23,2025-03-24,FALLA,REEMPLAZADO,1702,-5396,-225.0,REEMPLAZADO,0
LED-00018,Piso -2,Estacionamiento,Estacionamiento - Sector 2,LED Tubo T8,Philips,18,40000,2021-08-28,BAJA,24,37594,39072,103.93,2,3256,25.168730399387947,49.54010424915592,218.66031154716606,2025-10-01,2025-10-02,FALLA,REEMPLAZADO,1628,-1478,-62.0,REEMPLAZADO,0
LED-00019,Piso -2,Estacionamiento,Estacionamiento - Sector 2,LED Tubo T8,LG,18,40000,2023-05-06,BAJA,24,35680,24288,68.07,2,2024,18.055617044249527,55.32241907732697,220.50446601889269,,,,OPERATIVO,1012,11392,475.0,BAJO,4
LED-00020,Piso -2,Estacionamiento,Estacionamiento - Sector 2,LED Tubo T8,LG,18,40000,2020-07-30,BAJA,24,26468,48528,183.34,2,4044,25.543277631300153,49.696087960622656,221.1127437304602,2023-04-11,2023-04-15,FALLA,REEMPLAZADO,2022,-22060,-919.0,REEMPLAZADO,0
LED-00021,Piso -2,Estacionamiento,Estacionamiento - Sector 3,LED Tubo T8,Philips,18,40000,2021-06-18,BAJA,24,34601,40776,117.85,2,3398,20.014258366602913,54.91745517677156,219.80526985890063,,,,OPERATIVO,1699,-6175,-257.0,ALTO,2
LED-00022,Piso -2,Estacionamiento,Estacionamiento - Sector 3,LED Tubo T8,Philips,18,40000,2021-12-10,BAJA,24,48421,36576,75.54,2,3048,22.876514671839175,55.08037069686584,218.30887250749993,,,,OPERATIVO,1524,11845,494.0,MEDIO,4
LED-00023,Piso -2,Estacionamiento,Estacionamiento - Sector 3,LED Tubo T8,Genérico A,18,40000,2020-02-13,BAJA,24,36066,52560,145.73,2,4380,25.885203632884807,47.26165814534501,222.03281328443526,2023-11-16,2023-11-19,FALLA,REEMPLAZADO,2190,-16494,-687.0,REEMPLAZADO,0
LED-00024,Piso -2,Estacionamiento,Estacionamiento - Sector 3,LED Tubo T8,Genérico A,18,40000,2021-07-23,BAJA,24,33553,39936,119.02,2,3328,20.942265061754025,58.96917491780738,221.80117826456538,2025-03-04,2025-03-08,FALLA,REEMPLAZADO,1664,-6383,-266.0,REEMPLAZADO,0
LED-00025,Piso -2,Estacionamiento,Estacionamiento - Sector 3,LED Tubo T8,Samsung,18,40000,2019-08-21,BAJA,24,32993,56784,172.11,2,4732,18.32620113243811,57.72678829564725,222.0653861710537,2022-12-04,2022-12-09,FALLA,REEMPLAZADO,2366,-23791,-991.0,REEMPLAZADO,0
LED-00026,Piso -2,Estacionamiento,Estacionamiento - Sector 3,LED Tubo T8,Philips,18,40000,2019-11-17,BAJA,24,37991,54672,143.91,2,4556,23.1613823232756,45.23099287014974,222.1456264286148,2023-09-09,2023-09-10,FALLA,REEMPLAZADO,2278,-16681,-695.0,REEMPLAZADO,0
LED-00027,Piso -2,Estacionamiento,Estacionamiento - Sector 3,LED Tubo T8,Philips,18,40000,2021-12-18,BAJA,24,42250,36384,86.12,2,3032,18.907788169924714,67.74080854835688,223.26403612028588,,,,OPERATIVO,1516,5866,244.0,MEDIO,3
LED-00028,Piso -2,Estacionamiento,Estacionamiento - Sector 3,LED Tubo T8,Genérico B,18,40000,2022-04-13,BAJA,24,30615,33600,109.75,2,2800,22.4416064927957,55.889517350680194,219.45111374540272,2025-08-14,2025-08-17,FALLA,REEMPLAZADO,1400,-2985,-124.0,REEMPLAZADO,0
LED-00029,Piso -2,Estacionamiento,Estacionamiento - Sector 3,LED Tubo T8,Genérico A,18,40000,2021-06-15,BAJA,24,35159,40848,116.18,2,3404,25.17688207962062,66.61259272795351,222.67925327514575,2025-03-29,2025-04-01,FALLA,REEMPLAZADO,1702,-5689,-237.0,REEMPLAZADO,0
LED-00030,Piso -2,Estacionamiento,Estacionamiento - Sector 3,LED Tubo T8,Osram,18,40000,2020-01-09,BAJA,24,45051,53400,118.53,2,4450,25.188433508216633,58.1928717897877,218.05518230969977,2024-07-01,2024-07-03,FALLA,REEMPLAZADO,2225,-8349,-348.0,REEMPLAZADO,0
LED-00031,Piso -2,Estacionamiento,Estacionamiento - Sector 4,LED Tubo T8,Genérico A,18,40000,2022-09-03,BAJA,24,34024,30168,88.67,2,2514,23.535161581541544,59.55883778507801,219.34561585676335,,,,OPERATIVO,1257,3856,161.0,MEDIO,3
LED-00032,Piso -2,Estacionamiento,Estacionamiento - Sector 4,LED Tubo T8,Osram,18,40000,2022-05-30,BAJA,24,34679,32472,93.63,2,2706,23.971931240944194,59.48898697141644,223.09534046296505,2025-12-09,2025-12-15,FALLA,REEMPLAZADO,1353,2207,92.0,REEMPLAZADO,0
LED-00033,Piso -2,Estacionamiento,Estacionamiento - Sector 4,LED Tubo T8,LG,18,40000,2019-08-26,BAJA,24,40644,56664,139.41,2,4722,19.951917147032667,69.19031664257336,220.35858634800056,2023-10-01,2023-10-06,FALLA,REEMPLAZADO,2361,-16020,-668.0,REEMPLAZADO,0
LED-00034,Piso -2,Estacionamiento,Estacionamiento - Sector 4,LED Tubo T8,Genérico B,18,40000,2019-12-14,BAJA,24,45355,54024,119.11,2,4502,22.021096744841536,57.30711653879077,220.95510616291318,2024-11-18,2024-11-24,FALLA,REEMPLAZADO,2251,-8669,-361.0,REEMPLAZADO,0
LED-00035,Piso -2,Estacionamiento,Estacionamiento - Sector 4,LED Tubo T8,Philips,18,40000,2020-01-10,BAJA,24,42986,53376,124.17,2,4448,19.41688543525639,68.21375753058743,223.7235714620155,2024-08-08,2024-08-09,FALLA,REEMPLAZADO,2224,-10390,-433.0,REEMPLAZADO,0
LED-00036,Piso -2,Estacionamiento,Estacionamiento - Sector 4,LED Tubo T8,Philips,18,40000,2022-03-19,BAJA,24,35033,34200,97.62,2,2850,25.426548500701802,52.84552444951943,223.799928914262,2025-08-13,2025-08-18,FALLA,REEMPLAZADO,1425,833,35.0,REEMPLAZADO,0
LED-00037,Piso -2,Estacionamiento,Estacionamiento - Sector 4,LED Tubo T8,Philips,18,40000,2021-06-16,BAJA,24,34873,40824,117.06,2,3402,22.454410099666802,68.08464322482342,222.17617878004984,2024-12-04,2024-12-10,FALLA,REEMPLAZADO,1701,-5951,-248.0,REEMPLAZADO,0
LED-00038,Piso -2,Estacionamiento,Estacionamiento - Sector 4,LED Tubo T8,Osram,18,40000,2019-12-31,BAJA,24,28498,53616,188.14,2,4468,25.920430800834104,44.20252045709572,221.10997791418242,2023-01-08,2023-01-15,FALLA,REEMPLAZADO,2234,-25118,-1047.0,REEMPLAZADO,0
LED-00039,Piso -2,Estacionamiento,Estacionamiento - Sector 4,LED Tubo T8,LG,18,40000,2022-05-10,BAJA,24,40331,32952,81.7,2,2746,20.87592920975804,48.8077553279348,222.85616693287108,,,,OPERATIVO,1373,7379,307.0,MEDIO,3
LED-00040,Piso -2,Estacionamiento,Estacionamiento - Sector 4,LED Tubo T8,LG,18,40000,2023-04-10,BAJA,24,42229,24912,58.99,2,2076,25.30592442045177,55.34027196582814,221.00909776812318,,,,OPERATIVO,1038,17317,722.0,BAJO,5
LED-00041,Piso -2,Estacionamiento,Estacionamiento - Sector 5,LED Tubo T8,Philips,18,40000,2023-05-29,BAJA,24,44649,23736,53.16,2,1978,25.12004273454053,50.13985470554607,220.25349771583967,,,,OPERATIVO,989,20913,871.0,BAJO,5
LED-00042,Piso -2,Estacionamiento,Estacionamiento - Sector 5,LED Tubo T8,Genérico A,18,40000,2021-05-03,BAJA,24,39332,41880,106.48,2,3490,21.72478414505968,56.2793390412273,219.7192475127697,2025-03-03,2025-03-05,FALLA,REEMPLAZADO,1745,-2548,-106.0,REEMPLAZADO,0
LED-00043,Piso -2,Estacionamiento,Estacionamiento - Sector 5,LED Tubo T8,Osram,18,40000,2022-05-27,BAJA,24,34129,32544,95.35,2,2712,20.881525131290104,43.81181537955654,221.13345956032882,,,,OPERATIVO,1356,1585,66.0,ALTO,3
LED-00044,Piso -2,Estacionamiento,Estacionamiento - Sector 5,LED Tubo T8,Genérico B,18,40000,2020-05-28,BAJA,24,33853,50040,147.81,2,4170,18.682779719950144,41.55045163505823,221.1881277894089,2024-01-01,2024-01-03,FALLA,REEMPLAZADO,2085,-16187,-674.0,REEMPLAZADO,0
LED-00045,Piso -2,Estacionamiento,Estacionamiento - Sector 5,LED Tubo T8,Genérico A,18,40000,2021-10-27,BAJA,24,48588,37632,77.45,2,3136,22.13040278640956,49.68869418823738,222.77111716861222,,,,OPERATIVO,1568,10956,456.0,MEDIO,4
LED-00046,Piso -2,Estacionamiento,Estacionamiento - Sector 5,LED Tubo T8,Philips,18,40000,2020-10-14,BAJA,24,42995,46704,108.63,2,3892,18.20280594732366,68.87945244033776,223.01588072307322,2025-01-02,2025-01-05,FALLA,REEMPLAZADO,1946,-3709,-155.0,REEMPLAZADO,0
LED-00047,Piso -2,Estacionamiento,Estacionamiento - Sector 5,LED Tubo T8,Osram,18,40000,2019-12-25,BAJA,24,32263,53760,166.63,2,4480,22.393813317648963,61.437877681001865,221.9611842603064,2023-03-25,2023-03-27,FALLA,REEMPLAZADO,2240,-21497,-896.0,REEMPLAZADO,0
LED-00048,Piso -2,Estacionamiento,Estacionamiento - Sector 5,LED Tubo T8,Samsung,18,40000,2022-02-06,BAJA,24,47902,35184,73.45,2,2932,23.903175333566146,56.63062157534202,221.67032447740613,,,,OPERATIVO,1466,12718,530.0,MEDIO,4
LED-00049,Piso -2,Estacionamiento,Estacionamiento - Sector 5,LED Tubo T8,Philips,18,40000,2020-06-09,BAJA,24,28309,49752,175.74,2,4146,18.92858112405533,41.38007926065258,218.24437281391383,2023-03-10,2023-03-15,FALLA,REEMPLAZADO,2073,-21443,-893.0,REEMPLAZADO,0
LED-00050,Piso -2,Estacionamiento,Estacionamiento - Sector 5,LED Tubo T8,Samsung,18,40000,2020-04-22,BAJA,24,35868,50904,141.92,2,4242,18.782673285208013,54.74847625350497,220.8408306246834,2024-01-14,2024-01-15,FALLA,REEMPLAZADO,2121,-15036,-626.0,REEMPLAZADO,0
LED-00051,Piso -2,Estacionamiento,Estacionamiento - Sector 6,LED Tubo T8,Osram,18,40000,2020-04-24,BAJA,24,36693,50856,138.6,2,4238,18.362432078176354,51.238378438794136,221.7551594942854,2024-03-19,2024-03-25,FALLA,REEMPLAZADO,2119,-14163,-590.0,REEMPLAZADO,0
LED-00052,Piso -2,Estacionamiento,Estacionamiento - Sector 6,LED Tubo T8,Osram,18,40000,2022-05-10,BAJA,24,30158,32952,109.26,2,2746,19.303475416651438,42.11706242201289,221.85451566923788,2025-07-28,2025-08-01,FALLA,REEMPLAZADO,1373,-2794,-116.0,REEMPLAZADO,0
LED-00053,Piso -2,Estacionamiento,Estacionamiento - Sector 6,LED Tubo T8,Genérico B,18,40000,2022-10-23,BAJA,24,34411,28968,84.18,2,2414,21.105359409652173,59.29864655327059,220.7495173429491,,,,OPERATIVO,1207,5443,227.0,MEDIO,3
LED-00054,Piso -2,Estacionamiento,Estacionamiento - Sector 6,LED Tubo T8,Samsung,18,40000,2023-01-28,BAJA,24,35356,26640,75.35,2,2220,21.088821102406193,68.83571691471742,223.43210385173637,,,,OPERATIVO,1110,8716,363.0,MEDIO,4
LED-00055,Piso -2,Estacionamiento,Estacionamiento - Sector 6,LED Tubo T8,Genérico A,18,40000,2022-12-21,BAJA,24,34217,27552,80.52,2,2296,24.759002487755637,40.698158072074776,222.8868108955336,,,,OPERATIVO,1148,6665,278.0,MEDIO,3
LED-00056,Piso -2,Estacionamiento,Estacionamiento - Sector 6,LED Tubo T8,Philips,18,40000,2022-09-09,BAJA,24,34309,30024,87.51,2,2502,23.03154277423907,66.3241604058116,222.4104262628233,,,,OPERATIVO,1251,4285,179.0,MEDIO,3
LED-00057,Piso -2,Estacionamiento,Estacionamiento - Sector 6,LED Tubo T8,Genérico A,18,40000,2021-03-21,BAJA,24,29236,42912,146.77,2,3576,25.924041136005386,52.37853030734279,220.2321085147567,2024-05-27,2024-06-02,FALLA,REEMPLAZADO,1788,-13676,-570.0,REEMPLAZADO,0
LED-00058,Piso -2,Estacionamiento,Estacionamiento - Sector 6,LED Tubo T8,Samsung,18,40000,2021-06-05,BAJA,24,45109,41088,91.08,2,3424,24.867302014744094,52.86982082125055,222.505226406749,,,,OPERATIVO,1712,4021,168.0,ALTO,3
LED-00059,Piso -2,Estacionamiento,Estacionamiento - Sector 6,LED Tubo T8,Osram,18,40000,2020-12-17,BAJA,24,37636,45168,120.01,2,3764,20.560396808244896,66.86569685488601,220.33521007240498,2025-01-26,2025-02-02,FALLA,REEMPLAZADO,1882,-7532,-314.0,REEMPLAZADO,0
LED-00060,Piso -2,Estacionamiento,Estacionamiento - Sector 6,LED Tubo T8,Samsung,18,40000,2020-06-25,BAJA,24,37428,49368,131.9,2,4114,20.55450910072332,68.50185901152415,223.70364288162534,2024-02-29,2024-03-05,FALLA,REEMPLAZADO,2057,-11940,-498.0,REEMPLAZADO,0
LED-00061,Piso -2,Estacionamiento,Estacionamiento - Sector 7,LED Tubo T8,Genérico A,18,40000,2023-07-10,BAJA,24,45708,22728,49.72,2,1894,20.62931636295933,60.175553682311154,222.51424717662607,,,,OPERATIVO,947,22980,958.0,BAJO,5
LED-00062,Piso -2,Estacionamiento,Estacionamiento - Sector 7,LED Tubo T8,LG,18,40000,2022-12-11,BAJA,24,45621,27792,60.92,2,2316,18.72964882438952,54.83260914107744,218.34535256009985,,,,OPERATIVO,1158,17829,743.0,BAJO,4
LED-00063,Piso -2,Estacionamiento,Estacionamiento - Sector 7,LED Tubo T8,LG,18,40000,2020-07-29,BAJA,24,24126,48552,201.24,2,4046,19.143933456422687,62.84531895152416,221.70930837989758,2022-12-15,2022-12-22,FALLA,REEMPLAZADO,2023,-24426,-1018.0,REEMPLAZADO,0
LED-00064,Piso -2,Estacionamiento,Estacionamiento - Sector 7,LED Tubo T8,Genérico A,18,40000,2019-12-29,BAJA,24,43100,53664,124.51,2,4472,18.58210405091355,64.65580177871068,222.23745336293896,2024-08-14,2024-08-20,FALLA,REEMPLAZADO,2236,-10564,-440.0,REEMPLAZADO,0
LED-00065,Piso -2,Estacionamiento,Estacionamiento - Sector 7,LED Tubo T8,Osram,18,40000,2021-12-09,BAJA,24,49292,36600,74.25,2,3050,24.027025482071533,51.287787565927474,218.50100430019202,,,,OPERATIVO,1525,12692,529.0,MEDIO,4
LED-00066,Piso -2,Estacionamiento,Estacionamiento - Sector 7,LED Tubo T8,Osram,18,40000,2021-01-15,BAJA,24,36633,44472,121.4,2,3706,25.250835080757888,43.33592446918454,220.95575062574517,2024-10-27,2024-10-29,FALLA,REEMPLAZADO,1853,-7839,-327.0,REEMPLAZADO,0
LED-00067,Piso -2,Estacionamiento,Estacionamiento - Sector 7,LED Tubo T8,Philips,18,40000,2022-02-09,BAJA,24,37522,35112,93.58,2,2926,23.19368241692851,62.3813463779627,221.50021259058295,2025-10-23,2025-10-30,FALLA,REEMPLAZADO,1463,2410,100.0,REEMPLAZADO,0
LED-00068,Piso -2,Estacionamiento,Estacionamiento - Sector 7,LED Tubo T8,Genérico B,18,40000,2022-08-02,BAJA,24,32293,30936,95.8,2,2578,24.948793025515684,46.70787515558358,223.77933523664367,2025-11-07,2025-11-13,FALLA,REEMPLAZADO,1289,1357,57.0,REEMPLAZADO,0
LED-00069,Piso -2,Estacionamiento,Estacionamiento - Sector 7,LED Tubo T8,Samsung,18,40000,2022-12-28,BAJA,24,37462,27384,73.1,2,2282,25.754420284952793,55.692935325104465,221.77639182881157,,,,OPERATIVO,1141,10078,420.0,MEDIO,4
LED-00070,Piso -2,Estacionamiento,Estacionamiento - Sector 7,LED Tubo T8,Genérico A,18,40000,2021-11-29,BAJA,24,35023,36840,105.19,2,3070,22.674514495384802,67.03474031472967,218.27267828204876,2025-08-19,2025-08-26,FALLA,REEMPLAZADO,1535,-1817,-76.0,REEMPLAZADO,0
LED-00071,Piso -2,Estacionamiento,Estacionamiento - Sector 8,LED Tubo T8,Genérico A,18,40000,2020-09-27,BAJA,24,33964,47112,138.71,2,3926,21.709587239519855,50.60056684078158,221.50193667110523,2024-02-16,2024-02-18,FALLA,REEMPLAZADO,1963,-13148,-548.0,REEMPLAZADO,0
LED-00072,Piso -2,Estacionamiento,Estacionamiento - Sector 8,LED Tubo T8,LG,18,40000,2022-09-23,BAJA,24,41550,29688,71.45,2,2474,25.889685955836825,60.94485142059236,221.21657819806472,,,,OPERATIVO,1237,11862,494.0,MEDIO,4
LED-00073,Piso -2,Estacionamiento,Estacionamiento - Sector 8,LED Tubo T8,Osram,18,40000,2022-09-06,BAJA,24,46466,30096,64.77,2,2508,25.28741747595074,64.67611728769506,223.69879947975156,,,,OPERATIVO,1254,16370,682.0,BAJO,4
LED-00074,Piso -2,Estacionamiento,Estacionamiento - Sector 8,LED Tubo T8,Samsung,18,40000,2020-08-11,BAJA,24,34724,48240,138.92,2,4020,25.461827866832106,65.98191668501225,218.27131202063714,2024-03-11,2024-03-14,FALLA,REEMPLAZADO,2010,-13516,-563.0,REEMPLAZADO,0
LED-00075,Piso -2,Estacionamiento,Estacionamiento - Sector 8,LED Tubo T8,Genérico B,18,40000,2020-03-24,BAJA,24,33073,51600,156.01,2,4300,19.203335128828225,57.82392146056405,220.28534513978613,,,,OPERATIVO,2150,-18527,-772.0,ALTO,1
LED-00076,Piso -2,Estacionamiento,Estacionamiento - Sector 8,LED Tubo T8,Osram,18,40000,2023-06-24,BAJA,24,38831,23112,59.52,2,1926,24.706629637689105,54.06079479384911,220.488917014026,,,,OPERATIVO,963,15719,655.0,BAJO,5
LED-00077,Piso -2,Estacionamiento,Estacionamiento - Sector 8,LED Tubo T8,Philips,18,40000,2021-07-20,BAJA,24,40399,40008,99.03,2,3334,25.997741386289043,69.89910511221716,221.33259023361578,,,,OPERATIVO,1667,391,16.0,ALTO,3
LED-00078,Piso -2,Estacionamiento,Estacionamiento - Sector 8,LED Tubo T8,Genérico A,18,40000,2021-11-11,BAJA,24,34870,37272,106.89,2,3106,19.97878481394558,53.516324059302804,218.77495649090898,2025-09-06,2025-09-09,FALLA,REEMPLAZADO,1553,-2402,-100.0,REEMPLAZADO,0
LED-00079,Piso -2,Estacionamiento,Estacionamiento - Sector 8,LED Tubo T8,Philips,18,40000,2022-03-27,BAJA,24,39237,34008,86.67,2,2834,22.945025923663167,50.74488154098522,218.6813455531978,,,,OPERATIVO,1417,5229,218.0,MEDIO,3
LED-00080,Piso -2,Estacionamiento,Estacionamiento - Sector 8,LED Tubo T8,Genérico A,18,40000,2023-02-22,BAJA,24,38079,26040,68.38,2,2170,24.178547133885115,55.6049050333598,223.11308900191125,,,,OPERATIVO,1085,12039,502.0,BAJO,4
LED-00081,Piso -2,Estacionamiento,Estacionamiento - Sector 9,LED Tubo T8,Philips,18,40000,2020-11-10,BAJA,24,56561,46056,81.43,2,3838,19.072121827605127,40.86348028940017,222.5308235340417,,,,OPERATIVO,1919,10505,438.0,MEDIO,3
LED-00082,Piso -2,Estacionamiento,Estacionamiento - Sector 9,LED Tubo T8,Genérico A,18,40000,2020-08-07,BAJA,24,45607,48336,105.98,2,4028,19.090971804694156,40.43633997003646,220.10352535283957,2025-03-01,2025-03-04,FALLA,REEMPLAZADO,2014,-2729,-114.0,REEMPLAZADO,0
LED-00083,Piso -2,Estacionamiento,Estacionamiento - Sector 9,LED Tubo T8,Genérico A,18,40000,2022-11-13,BAJA,24,23381,28464,121.74,2,2372,22.111915913278487,63.50959038223429,220.37925669392763,2025-04-03,2025-04-08,FALLA,REEMPLAZADO,1186,-5083,-212.0,REEMPLAZADO,0
LED-00084,Piso -2,Estacionamiento,Estacionamiento - Sector 9,LED Tubo T8,LG,18,40000,2020-07-03,BAJA,24,47353,49176,103.85,2,4098,19.1765878474323,67.79762875484484,220.95269775847723,2025-10-05,2025-10-11,FALLA,REEMPLAZADO,2049,-1823,-76.0,REEMPLAZADO,0
LED-00085,Piso -2,Estacionamiento,Estacionamiento - Sector 9,LED Tubo T8,Philips,18,40000,2020-08-17,BAJA,24,39599,48096,121.46,2,4008,23.067206834533806,47.204368563345795,218.45517996865198,2024-08-28,2024-09-01,FALLA,REEMPLAZADO,2004,-8497,-354.0,REEMPLAZADO,0
LED-00086,Piso -2,Estacionamiento,Estacionamiento - Sector 9,LED Tubo T8,Genérico A,18,40000,2021-03-19,BAJA,24,22964,42960,187.07,2,3580,19.110617381195283,59.226242344096434,219.09128050639487,2023-06-29,2023-07-02,FALLA,REEMPLAZADO,1790,-19996,-833.0,REEMPLAZADO,0
LED-00087,Piso -2,Estacionamiento,Estacionamiento - Sector 9,LED Tubo T8,Genérico B,18,40000,2020-07-24,BAJA,24,36652,48672,132.79,2,4056,19.538312150469366,41.226058487994365,219.013610378433,2024-03-17,2024-03-18,FALLA,REEMPLAZADO,2028,-12020,-501.0,REEMPLAZADO,0
LED-00088,Piso -2,Estacionamiento,Estacionamiento - Sector 9,LED Tubo T8,Genérico A,18,40000,2019-09-20,BAJA,24,31613,56064,177.34,2,4672,18.965086968804805,53.823363040981775,219.23800231043475,2022-10-28,2022-10-29,FALLA,REEMPLAZADO,2336,-24451,-1019.0,REEMPLAZADO,0
LED-00089,Piso -2,Estacionamiento,Estacionamiento - Sector 9,LED Tubo T8,Philips,18,40000,2021-11-02,BAJA,24,40856,37488,91.76,2,3124,23.023203115927263,42.45277095846616,223.24147174464068,,,,OPERATIVO,1562,3368,140.0,ALTO,3
LED-00090,Piso -2,Estacionamiento,Estacionamiento - Sector 9,LED Tubo T8,Osram,18,40000,2019-10-27,BAJA,24,23975,55176,230.14,2,4598,24.44961023834449,62.447790711509754,219.10712611613826,2022-03-30,2022-04-02,FALLA,REEMPLAZADO,2299,-31201,-1300.0,REEMPLAZADO,0
