id_luminaria,piso,area,tipo_led,marca,criticidad,horas_uso_acumuladas,porcentaje_vida_consumida,dias_restantes_estimados,dias_restantes_predichos,nivel_riesgo,prioridad_mantenimiento,prob_falla_alto,prob_falla_medio,prob_falla_bajo
LED-00041,Piso -2,Estacionamiento,LED Tubo T8,Philips,BAJA,23736,53.16,871.0,869.0396626858505,BAJO,5,0.0,0.008943396226415094,0.9910566037735848
LED-00043,Piso -2,Estacionamiento,LED Tubo T8,Osram,BAJA,32544,95.35,66.0,53.79790219747414,ALTO,3,0.013191293879102775,0.7955657721156248,0.19124293400527226
LED-00045,Piso -2,Estacionamiento,LED Tubo T8,Genérico A,BAJA,37632,77.45,456.0,446.81047672545964,MEDIO,4,0.0,0.00988323603002502,0.9901167639699751
LED-00048,Piso -2,Estacionamiento,LED Tubo T8,Samsung,BAJA,35184,73.45,530.0,531.941040720491,MEDIO,4,0.0,0.0,1.0
LED-00053,Piso -2,Estacionamiento,LED Tubo T8,Genérico B,BAJA,28968,84.18,227.0,228.79408810494374,MEDIO,3,0.0,0.018762142989750156,0.9812378570102499
LED-00054,Piso -2,Estacionamiento,LED Tubo T8,Samsung,BAJA,26640,75.35,363.0,390.5080688990911,MEDIO,4,0.0,0.0,1.0
LED-00055,Piso -2,Estacionamiento,LED Tubo T8,Genérico A,BAJA,27552,80.52,278.0,285.8189441358346,MEDIO,3,0.0,0.01788679245283019,0.9821132075471698
LED-00056,Piso -2,Estacionamiento,LED Tubo T8,Philips,BAJA,30024,87.51,179.0,185.92182667751138,MEDIO,3,0.0,0.018762142989750156,0.9812378570102499
LED-00058,Piso -2,Estacionamiento,LED Tubo T8,Samsung,BAJA,41088,91.08,168.0,178.7186608711943,ALTO,3,0.02758379488577281,0.008943396226415094,0.963472808887812
LED-00061,Piso -2,Estacionamiento,LED Tubo T8,Genérico A,BAJA,22728,49.72,958.0,946.3668276355977,BAJO,5,0.0,0.0,1.0
LED-00062,Piso -2,Estacionamiento,LED Tubo T8,LG,BAJA,27792,60.92,743.0,750.9547175452443,BAJO,4,0.009546827794561933,0.0,0.990453172205438
LED-00065,Piso -2,Estacionamiento,LED Tubo T8,Osram,BAJA,36600,74.25,529.0,512.4372730372733,MEDIO,4,0.009546827794561933,0.0,0.990453172205438
LED-00069,Piso -2,Estacionamiento,LED Tubo T8,Samsung,BAJA,27384,73.1,420.0,436.37122743405683,MEDIO,4,0.0,0.009854469854469855,0.9901455301455302
LED-00072,Piso -2,Estacionamiento,LED Tubo T8,LG,BAJA,29688,71.45,494.0,494.3635523390314,MEDIO,4,0.0,0.0,1.0
LED-00073,Piso -2,Estacionamiento,LED Tubo T8,Osram,BAJA,30096,64.77,682.0,690.216471832544,BAJO,4,0.0,0.009895615866388308,0.9901043841336117
LED-00075,Piso -2,Estacionamiento,LED Tubo T8,Genérico B,BAJA,51600,156.01,-772.0,-762.9300071774212,ALTO,1,0.9715470888125222,0.017439095611546804,0.011013815575930985
LED-00076,Piso -2,Estacionamiento,LED Tubo T8,Osram,BAJA,23112,59.52,655.0,664.9319237209412,BAJO,5,0.0,0.0,1.0
LED-00077,Piso -2,Estacionamiento,LED Tubo T8,Philips,BAJA,40008,99.03,16.0,19.071032773594546,ALTO,3,0.9023271353622111,0.05676716219005826,0.04090570244773068
LED-00079,Piso -2,Estacionamiento,LED Tubo T8,Philips,BAJA,34008,86.67,218.0,223.74321704138333,MEDIO,3,0.025734334345237964,0.019810361473877543,0.9544553041808844
LED-00080,Piso -2,Estacionamiento,LED Tubo T8,Genérico A,BAJA,26040,68.38,502.0,485.9637641250596,BAJO,4,0.0,0.0,1.0
LED-00081,Piso -2,Estacionamiento,LED Tubo T8,Philips,BAJA,46056,81.43,438.0,434.83296514207143,MEDIO,3,0.009335302806499263,0.00931237721021611,0.9813523199832846
LED-00089,Piso -2,Estacionamiento,LED Tubo T8,Philips,BAJA,37488,91.76,140.0,138.71216595463295,ALTO,3,0.008404255319148936,0.04902225590566078,0.9425734887751903
LED-00093,Piso -2,Estacionamiento,LED Tubo T8,Philips,BAJA,33216,67.76,658.0,641.4806005556096,BAJO,4,0.0,0.019406366287840694,0.9805936337121594
LED-00095,Piso -2,Estacionamiento,LED Tubo T8,Samsung,BAJA,33480,92.97,106.0,107.88176423555805,ALTO,3,0.0035451558618479046,0.07347564544566167,0.9229791986924905
LED-00096,Piso -2,Estacionamiento,LED Tubo T8,Samsung,BAJA,22512,49.06,974.0,946.8427812099943,BAJO,5,0.0,0.009854469854469855,0.9901455301455302
LED-00098,Piso -2,Estacionamiento,LED Tubo T8,Philips,BAJA,25488,60.64,689.0,688.3108527874226,BAJO,4,0.0,0.0,1.0
LED-00100,Piso -2,Estacionamiento,LED Tubo T8,Philips,BAJA,33864,86.3,224.0,223.37473171646124,MEDIO,3,0.007783251231527094,0.02883309755302055,0.9633836512154523
LED-00104,Piso -2,Estacionamiento,LED Tubo T8,Samsung,BAJA,34104,102.4,-33.0,-40.946400872400126,ALTO,2,0.8471941342635553,0.10735891286671861,0.04544695286972614
LED-00106,Piso -2,Estacionamiento,LED Tubo T8,Philips,BAJA,26928,64.8,610.0,611.6386851577068,BAJO,4,0.0,0.008943396226415094,0.9910566037735848
LED-00108,Piso -2,Estacionamiento,LED Tubo T8,Osram,BAJA,45120,84.84,336.0,338.16869112447193,MEDIO,3,0.019179539566623872,0.008943396226415094,0.9718770642069611
LED-00109,Piso -2,Estacionamiento,LED Tubo T8,Genérico A,BAJA,24816,75.46,336.0,327.50064343458064,MEDIO,4,0.0,0.009621109607577808,0.9903788903924222
LED-00112,Piso -2,Estacionamiento,LED Tubo T8,LG,BAJA,27528,69.05,514.0,502.1512075892936,BAJO,4,0.009546827794561933,0.008943396226415094,0.981509775979023
LED-00113,Piso -2,Estacionamiento,LED Tubo T8,Philips,BAJA,31512,67.22,640.0,622.014314439627,BAJO,4,0.0,0.009895615866388308,0.9901043841336117
LED-00114,Piso -2,Estacionamiento,LED Tubo T8,Samsung,BAJA,29064,81.81,269.0,275.084773715494,MEDIO,3,0.0,0.03766143083557293,0.9623385691644271
LED-00115,Piso -2,Estacionamiento,LED Tubo T8,Osram,BAJA,35856,90.47,157.0,159.75378016892967,ALTO,3,0.00692846795348655,0.07120413804636297,0.9218673940001506
LED-00116,Piso -2,Estacionamiento,LED Tubo T8,Samsung,BAJA,25872,59.46,735.0,727.3367550021848,BAJO,5,0.0,0.0,1.0
LED-00117,Piso -2,Estacionamiento,LED Tubo T8,Osram,BAJA,49224,91.56,189.0,190.98917055974792,ALTO,3,0.0389477003085095,0.009926701570680627,0.9511255981208099
LED-00119,Piso -2,Estacionamiento,LED Tubo T8,Genérico B,BAJA,22896,69.26,423.0,428.92017842521545,BAJO,4,0.0,0.018564505833992904,0.9814354941660071
LED-00125,Piso -2,Estacionamiento,LED Tubo T8,Osram,BAJA,44520,82.26,400.0,366.2726743481547,MEDIO,3,0.019179539566623872,0.008943396226415094,0.9718770642069611
LED-00130,Piso -2,Estacionamiento,LED Tubo T8,Philips,BAJA,25032,56.04,818.0,836.5969955680101,BAJO,5,0.0,0.008943396226415094,0.9910566037735848
LED-00132,Piso -2,Estacionamiento,LED Tubo T8,Philips,BAJA,37584,73.93,552.0,520.762254255152,MEDIO,4,0.01,0.0,0.99
LED-00136,Piso -2,Estacionamiento,LED Tubo T8,Philips,BAJA,31296,85.36,224.0,234.5798817187248,MEDIO,3,0.0,0.018762142989750156,0.9812378570102499
LED-00137,Piso -2,Estacionamiento,LED Tubo T8,Philips,BAJA,25512,74.41,366.0,361.0360476402886,MEDIO,4,0.0,0.0,1.0
LED-00138,Piso -2,Estacionamiento,LED Tubo T8,LG,BAJA,33720,82.14,305.0,300.27187787598416,MEDIO,3,0.0,0.009926701570680629,0.9900732984293193
LED-00141,Piso -2,Estacionamiento,LED Tubo T8,Philips,BAJA,26184,45.87,1287.0,1273.8970260687981,BAJO,5,0.0,0.00988323603002502,0.9901167639699751
LED-00144,Piso -2,Estacionamiento,LED Tubo T8,Genérico B,BAJA,32208,77.34,393.0,390.8489014288857,MEDIO,4,0.0,0.009693251533742332,0.9903067484662578
LED-00148,Piso -2,Estacionamiento,LED Tubo T8,Osram,BAJA,37704,94.97,83.0,71.85117545585376,ALTO,3,0.02572390548027303,0.6999784450557862,0.2742976494639407
LED-00149,Piso -2,Estacionamiento,LED Tubo T8,Genérico B,BAJA,25728,80.47,260.0,261.24237721765456,MEDIO,3,0.008239895697522816,0.0,0.9917601043024772
LED-00151,Piso -2,Bodegas,LED Tubo T8,Genérico B,BAJA,9024,22.55,3875.0,3870.954869643047,BAJO,5,0.0,0.018754608285913323,0.9812453917140868
LED-00152,Piso -2,Bodegas,LED Tubo T8,Philips,BAJA,10880,23.83,4348.0,4326.408572782719,BAJO,5,0.0,0.009926701570680627,0.9900732984293193
LED-00153,Piso -2,Bodegas,LED Tubo T8,Samsung,BAJA,9560,19.84,4828.0,4819.709618665896,BAJO,5,0.0,0.0,1.0
LED-00154,Piso -2,Bodegas,LED Tubo T8,Genérico B,BAJA,8512,27.6,2791.0,2803.066750261878,BAJO,5,0.0,0.0,1.0
LED-00155,Piso -2,Bodegas,LED Tubo T8,Genérico A,BAJA,13440,40.26,2493.0,2485.134432287057,BAJO,5,0.0,0.0,1.0
LED-00156,Piso -2,Bodegas,LED Tubo T8,Osram,BAJA,14568,39.48,2791.0,2770.75691867453,BAJO,5,0.0,0.0,1.0
LED-00157,Piso -2,Bodegas,LED Tubo T8,Genérico A,BAJA,18912,51.93,2188.0,2149.4085349913676,BAJO,5,0.0,0.01,0.99
LED-00158,Piso -2,Bodegas,LED Tubo T8,Osram,BAJA,18104,49.27,2330.0,2330.4179487111296,BAJO,5,0.0,0.0,1.0
LED-00159,Piso -2,Bodegas,LED Tubo T8,Samsung,BAJA,18328,66.29,1165.0,917.2042593925026,BAJO,4,0.008081841432225064,0.036979969863599436,0.9549381887041756
LED-00160,Piso -2,Bodegas,LED Tubo T8,Genérico A,BAJA,12296,35.25,2823.0,2811.5205041184868,BAJO,5,0.0,0.009926701570680627,0.9900732984293193
LED-00161,Piso -2,Bodegas,LED Tubo T8,Genérico B,BAJA,9088,27.73,2960.0,2955.272630503908,BAJO,5,0.0,0.0,1.0
LED-00162,Piso -2,Bodegas,LED Tubo T8,Genérico B,BAJA,9592,36.62,2075.0,2082.250682009388,BAJO,5,0.0,0.055406319911815445,0.9445936800881846
LED-00163,Piso -2,Bodegas,LED Tubo T8,Osram,BAJA,9144,24.8,3465.0,3555.250822418976,BAJO,5,0.0,0.0,1.0
LED-00164,Piso -2,Bodegas,LED Tubo T8,LG,BAJA,9936,22.6,4253.0,4237.208053510331,BAJO,5,0.0,0.0,1.0
LED-00165,Piso -2,Bodegas,LED Tubo T8,Osram,BAJA,17296,36.37,3782.0,3751.5075264569314,BAJO,5,0.0,0.0,1.0
LED-00166,Piso -2,Bodegas,LED Tubo T8,Philips,BAJA,13008,36.21,2865.0,2768.861997460841,BAJO,5,0.0,0.0,1.0
LED-00167,Piso -2,Bodegas,LED Tubo T8,Philips,BAJA,17776,34.11,4293.0,4268.493835176924,BAJO,5,0.0,0.0,1.0
LED-00168,Piso -2,Bodegas,LED Tubo T8,Genérico A,BAJA,15672,52.58,1767.0,1769.876458630037,BAJO,5,0.0,0.0,1.0
LED-00169,Piso -2,Bodegas,LED Tubo T8,Samsung,BAJA,8224,16.99,5022.0,5032.3040830666905,BAJO,5,0.0,0.0,1.0
LED-00170,Piso -2,Bodegas,LED Tubo T8,Philips,BAJA,14328,25.98,5103.0,5072.106272011536,BAJO,5,0.0,0.009926701570680627,0.9900732984293193
LED-00171,Piso -2,Bodegas,LED Tubo T8,Genérico A,BAJA,8112,20.88,3842.0,3854.818468051315,BAJO,5,0.0,0.0,1.0
LED-00172,Piso -2,Bodegas,LED Tubo T8,Philips,BAJA,9528,21.81,4269.0,4274.540925354482,BAJO,5,0.0,0.0,1.0
LED-00173,Piso -2,Bodegas,LED Tubo T8,LG,BAJA,11680,27.23,3901.0,3889.50880354982,BAJO,5,0.0,0.0,1.0
LED-00174,Piso -2,Bodegas,LED Tubo T8,Philips,BAJA,14624,26.05,5189.0,5022.451877799025,BAJO,5,0.0,0.0,1.0
LED-00175,Piso -2,Bodegas,LED Tubo T8,Samsung,BAJA,14392,35.81,3225.0,3207.1036921538603,BAJO,5,0.0,0.0,1.0
LED-00176,Piso -2,Bodegas,LED Tubo T8,Samsung,BAJA,9224,25.21,3421.0,3455.582371051926,BAJO,5,0.0,0.0,1.0
LED-00177,Piso -2,Bodegas,LED Tubo T8,Philips,BAJA,18712,34.26,4488.0,4485.609005664371,BAJO,5,0.008081841432225064,0.0,0.991918158567775
LED-00178,Piso -2,Bodegas,LED Tubo T8,Genérico B,BAJA,16328,48.56,2162.0,2163.407381791191,BAJO,5,0.0,0.0,1.0
LED-00179,Piso -2,Bodegas,LED Tubo T8,Philips,BAJA,13440,30.31,3863.0,3862.003976963535,BAJO,5,0.0,0.0,1.0
LED-00180,Piso -2,Bodegas,LED Tubo T8,Samsung,BAJA,9816,26.16,3463.0,3465.577322288835,BAJO,5,0.0,0.0,1.0
LED-00181,Piso -2,Bodegas,LED Tubo T8,Osram,BAJA,8072,19.04,4290.0,4290.205254704517,BAJO,5,0.0,0.0,1.0
LED-00182,Piso -2,Bodegas,LED Tubo T8,Osram,BAJA,8040,19.03,4276.0,4280.3794727362865,BAJO,5,0.0,0.0,1.0
LED-00183,Piso -2,Bodegas,LED Tubo T8,Genérico A,BAJA,10832,27.48,3574.0,3492.921483363812,BAJO,5,0.0,0.0,1.0
LED-00184,Piso -2,Bodegas,LED Tubo T8,LG,BAJA,18312,45.47,2745.0,2711.5260132971293,BAJO,5,0.0,0.0,1.0
LED-00185,Piso -2,Bodegas,LED Tubo T8,Philips,BAJA,16560,46.58,2374.0,2383.853672185792,BAJO,5,0.0,0.0,1.0
LED-00186,Piso -2,Bodegas,LED Tubo T8,Genérico A,BAJA,14048,28.5,4406.0,4292.782226823825,BAJO,5,0.0,0.0,1.0
LED-00187,Piso -2,Bodegas,LED Tubo T8,Genérico B,BAJA,9920,31.25,2728.0,2715.8000734409557,BAJO,5,0.0,0.0,1.0
LED-00188,Piso -2,Bodegas,LED Tubo T8,Genérico B,BAJA,11264,61.4,885.0,893.1760977808411,BAJO,4,0.0,0.04569320515771708,0.954306794842283
LED-00189,Piso -2,Bodegas,LED Tubo T8,Genérico A,BAJA,10288,28.17,3280.0,3264.2701813547583,BAJO,5,0.0,0.0,1.0
LED-00190,Piso -2,Bodegas,LED Tubo T8,Genérico A,BAJA,7792,27.22,2604.0,2852.9192123445737,BAJO,5,0.0,0.055406319911815445,0.9445936800881846
LED-00191,Piso -2,Bodegas,LED Tubo T8,Philips,BAJA,12832,37.19,2709.0,2698.5864619539193,BAJO,5,0.0,0.0,1.0
LED-00192,Piso -2,Bodegas,LED Tubo T8,Genérico A,BAJA,14136,43.04,2339.0,2341.580444639371,BAJO,5,0.0,0.0,1.0
LED-00193,Piso -2,Bodegas,LED Tubo T8,Genérico A,BAJA,11456,30.72,3229.0,3233.970845035396,BAJO,5,0.008081841432225064,0.0,0.991918158567775
LED-00194,Piso -2,Bodegas,LED Tubo T8,Osram,BAJA,18880,50.4,2323.0,2329.6584586001536,BAJO,5,0.0,0.0,1.0
LED-00195,Piso -2,Bodegas,LED Tubo T8,Philips,BAJA,8024,13.94,6194.0,6177.9588819696055,BAJO,5,0.0,0.0,1.0
LED-00196,Piso -2,Bodegas,LED Tubo T8,Genérico A,BAJA,11032,36.18,2432.0,2431.1791435751857,BAJO,5,0.0,0.0,1.0
LED-00197,Piso -2,Bodegas,LED Tubo T8,Philips,BAJA,14928,32.1,3946.0,3973.6480543216667,BAJO,5,0.0,0.0,1.0
LED-00198,Piso -2,Bodegas,LED Tubo T8,Osram,BAJA,11120,28.72,3450.0,3433.7889855860194,BAJO,5,0.0,0.0,1.0
LED-00199,Piso -2,Bodegas,LED Tubo T8,Philips,BAJA,18200,43.95,2901.0,2726.8546540533525,BAJO,5,0.008081841432225064,0.0,0.991918158567775
LED-00200,Piso -2,Bodegas,LED Tubo T8,Philips,BAJA,12768,44.26,2010.0,2013.2942846863482,BAJO,5,0.0,0.04569320515771708,0.954306794842283
LED-00201,Piso -1,Estacionamiento,LED Tubo T8,Osram,BAJA,25584,50.57,1042.0,1042.782904949974,BAJO,5,0.0,0.0,1.0
LED-00205,Piso -1,Estacionamiento,LED Tubo T8,Osram,BAJA,23520,77.32,288.0,287.67269151778993,MEDIO,4,0.008239895697522816,0.0,0.9917601043024772
LED-00206,Piso -1,Estacionamiento,LED Tubo T8,Philips,BAJA,34992,81.1,340.0,345.8490359764423,MEDIO,3,0.008404255319148936,0.0,0.9915957446808511
LED-00211,Piso -1,Estacionamiento,LED Tubo T8,Philips,BAJA,50496,148.43,-687.0,-680.3155599734506,ALTO,1,0.9393170830609359,0.05654364535945863,0.004139271579605571
LED-00212,Piso -1,Estacionamiento,LED Tubo T8,Philips,BAJA,24336,60.42,664.0,668.2675194553219,BAJO,4,0.0,0.0,1.0
LED-00213,Piso -1,Estacionamiento,LED Tubo T8,LG,BAJA,22248,75.08,308.0,319.09818178751175,MEDIO,4,0.0,0.018564505833992904,0.9814354941660071
LED-00219,Piso -1,Estacionamiento,LED Tubo T8,Osram,BAJA,28296,57.96,855.0,857.7060457201957,BAJO,5,0.0,0.0,1.0
LED-00222,Piso -1,Estacionamiento,LED Tubo T8,Osram,BAJA,41952,82.79,363.0,343.8164802692881,MEDIO,3,0.019179539566623872,0.008943396226415094,0.9718770642069611
LED-00224,Piso -1,Estacionamiento,LED Tubo T8,Philips,BAJA,42840,75.69,573.0,538.4614166475156,MEDIO,4,0.009335302806499263,0.008943396226415094,0.9817213009670858
LED-00226,Piso -1,Estacionamiento,LED Tubo T8,LG,BAJA,30720,79.54,329.0,327.8285364184085,MEDIO,4,0.0,0.008943396226415094,0.9910566037735848
LED-00227,Piso -1,Estacionamiento,LED Tubo T8,LG,BAJA,36960,83.53,304.0,292.6035246255298,MEDIO,3,0.009882720875684127,0.009693251533742332,0.9804240275905736
LED-00228,Piso -1,Estacionamiento,LED Tubo T8,Osram,BAJA,22176,77.95,261.0,269.30245953629293,MEDIO,4,0.01778672349208475,0.0651194346659138,0.9170938418420015
LED-00232,Piso -1,Estacionamiento,LED Tubo T8,Samsung,BAJA,43896,85.26,316.0,316.5286867214325,MEDIO,3,0.019179539566623872,0.008943396226415094,0.9718770642069611
LED-00233,Piso -1,Estacionamiento,LED Tubo T8,LG,BAJA,47280,94.56,113.0,125.2277543222863,ALTO,3,0.028726367361185806,0.008943396226415094,0.9623302364123991
LED-00235,Piso -1,Estacionamiento,LED Tubo T8,LG,BAJA,36120,93.89,98.0,99.58061464162995,ALTO,3,0.00692846795348655,0.09009849513261255,0.9029730369139009
LED-00236,Piso -1,Estacionamiento,LED Tubo T8,Samsung,BAJA,53280,94.24,136.0,151.42841367225466,ALTO,3,0.029071917807059967,0.0,0.9709280821929401
LED-00238,Piso -1,Estacionamiento,LED Tubo T8,Genérico A,BAJA,33720,90.98,139.0,136.86735955301128,ALTO,3,0.0,0.07631384351248786,0.9236861564875121
LED-00239,Piso -1,Estacionamiento,LED Tubo T8,LG,BAJA,33216,74.31,478.0,469.96154516103377,MEDIO,4,0.0,0.0,1.0
LED-00240,Piso -1,Estacionamiento,LED Tubo T8,Genérico A,BAJA,29400,79.93,308.0,316.7991377146735,MEDIO,4,0.0,0.008943396226415094,0.9910566037735848
LED-00241,Piso -1,Estacionamiento,LED Tubo T8,Philips,BAJA,34200,80.78,339.0,344.94356816698195,MEDIO,3,0.01194941118099684,0.01539082345456932,0.9726597653644339
LED-00243,Piso -1,Estacionamiento,LED Tubo T8,Genérico A,BAJA,25752,88.86,134.0,141.68432163853413,MEDIO,3,0.008239895697522816,0.04569320515771708,0.94606689914476
LED-00248,Piso -1,Estacionamiento,LED Tubo T8,LG,BAJA,27408,65.98,589.0,594.9915379798869,BAJO,4,0.0,0.008943396226415094,0.9910566037735848
LED-00249,Piso -1,Estacionamiento,LED Tubo T8,Genérico A,BAJA,32928,89.33,164.0,166.7102716760379,MEDIO,3,0.01733007902608903,0.04900529019334542,0.9336646307805655
LED-00252,Piso -1,Estacionamiento,LED Tubo T8,Samsung,BAJA,28128,73.16,430.0,443.5680607718972,MEDIO,4,0.0,0.027842684072237875,0.9721573159277621
LED-00258,Piso -1,Estacionamiento,LED Tubo T8,Osram,BAJA,29976,81.11,291.0,306.36617107649346,MEDIO,3,0.0,0.03766143083557293,0.9623385691644271
LED-00264,Piso -1,Estacionamiento,LED Tubo T8,Osram,BAJA,25968,69.04,485.0,482.8626332148791,BAJO,4,0.0,0.008943396226415094,0.9910566037735848
LED-00265,Piso -1,Estacionamiento,LED Tubo T8,LG,BAJA,33696,83.81,271.0,265.447035463469,MEDIO,3,0.0,0.029260836142310547,0.9707391638576895
LED-00267,Piso -1,Estacionamiento,LED Tubo T8,Genérico A,BAJA,26136,90.06,120.0,122.96680499600743,ALTO,3,0.009546827794561933,0.09340105317603577,0.8970521190294023
LED-00269,Piso -1,Estacionamiento,LED Tubo T8,Osram,BAJA,29664,63.81,701.0,713.0985577711303,BAJO,4,0.0,0.018826632256440115,0.9811733677435599
LED-00270,Piso -1,Estacionamiento,LED Tubo T8,LG,BAJA,25320,76.71,320.0,316.6071299365631,MEDIO,4,0.0,0.01893348681779392,0.9810665131822062
LED-00273,Piso -1,Estacionamiento,LED Tubo T8,Philips,BAJA,42816,75.21,588.0,567.0280231457203,MEDIO,4,0.009335302806499263,0.0,0.9906646971935007
LED-00275,Piso -1,Estacionamiento,LED Tubo T8,Genérico B,BAJA,23136,62.33,583.0,594.3553286791265,BAJO,4,0.0,0.0,1.0
LED-00277,Piso -1,Estacionamiento,LED Tubo T8,Osram,BAJA,22464,52.06,862.0,849.0012848294423,BAJO,5,0.0,0.0,1.0
LED-00281,Piso -1,Estacionamiento,LED Tubo T8,Genérico A,BAJA,33000,88.49,179.0,178.73502456193123,MEDIO,3,0.01733007902608903,0.04699164543766259,0.9356782755362484
LED-00282,Piso -1,Estacionamiento,LED Tubo T8,Samsung,BAJA,35568,72.55,561.0,559.1601687529153,MEDIO,4,0.0,0.009693251533742332,0.9903067484662578
LED-00283,Piso -1,Estacionamiento,LED Tubo T8,Osram,BAJA,23592,85.44,168.0,178.8173898999734,MEDIO,3,0.01800805643940844,0.0466930846176978,0.9352988589428938
LED-00291,Piso -1,Estacionamiento,LED Tubo T8,Osram,BAJA,44856,89.28,224.0,230.11026142641776,MEDIO,3,0.009335302806499263,0.00931237721021611,0.9813523199832846
LED-00292,Piso -1,Estacionamiento,LED Tubo T8,Philips,BAJA,34944,70.85,599.0,590.7862748455757,MEDIO,4,0.0,0.0,1.0
LED-00293,Piso -1,Estacionamiento,LED Tubo T8,Osram,BAJA,32568,68.05,637.0,622.0001084420929,BAJO,4,0.0,0.0,1.0
LED-00297,Piso -1,Estacionamiento,LED Tubo T8,Osram,BAJA,26184,58.16,785.0,775.6044489440469,BAJO,5,0.009546827794561933,0.0,0.990453172205438
LED-00299,Piso -1,Estacionamiento,LED Tubo T8,Philips,BAJA,39360,94.53,95.0,97.05438454372776,ALTO,3,0.01988272087568413,0.0,0.9801172791243158
LED-00300,Piso -1,Estacionamiento,LED Tubo T8,Philips,BAJA,25536,61.9,655.0,659.5620309849822,BAJO,4,0.0,0.0,1.0
LED-00302,Piso -1,Estacionamiento,LED Tubo T8,Philips,BAJA,23688,42.88,1315.0,1336.8086623628906,BAJO,5,0.009546827794561933,0.0,0.990453172205438
LED-00303,Piso -1,Estacionamiento,LED Tubo T8,Genérico B,BAJA,31968,96.22,52.0,47.63256940148574,ALTO,3,0.012606782230993496,0.9035607339362163,0.08383248383279014
LED-00305,Piso -1,Estacionamiento,LED Tubo T8,Philips,BAJA,28368,54.06,1005.0,994.9078141167932,BAJO,5,0.0,0.0,1.0
LED-00306,Piso -1,Estacionamiento,LED Tubo T8,Samsung,BAJA,27792,95.08,60.0,54.87744125571339,ALTO,3,0.0034162185513622245,0.7483416380336968,0.24824214341494089
LED-00307,Piso -1,Estacionamiento,LED Tubo T8,Samsung,BAJA,32880,71.78,538.0,527.4919553002625,MEDIO,4,0.0,0.01920799307660442,0.9807920069233957
LED-00309,Piso -1,Estacionamiento,LED Tubo T8,Genérico A,BAJA,30408,76.39,392.0,381.65646940336785,MEDIO,4,0.0,0.008943396226415094,0.9910566037735848
LED-00310,Piso -1,Estacionamiento,LED Tubo T8,LG,BAJA,27792,77.04,345.0,346.7391472025892,MEDIO,4,0.0,0.03766143083557293,0.9623385691644271
LED-00311,Piso -1,Estacionamiento,LED Tubo T8,Genérico A,BAJA,30216,75.16,416.0,424.5665618873309,MEDIO,4,0.0,0.008943396226415094,0.9910566037735848
LED-00315,Piso -1,Estacionamiento,LED Tubo T8,Osram,BAJA,31920,75.75,426.0,420.99393454376667,MEDIO,4,0.0,0.019805484550061175,0.9801945154499389
LED-00317,Piso -1,Estacionamiento,LED Tubo T8,Genérico A,BAJA,34104,94.72,79.0,80.14842650900492,ALTO,3,0.0012147505422993492,0.20801965062897293,0.7907655988287278
