id_ubicacion,id_luminaria,piso,area,ubicacion_especifica,criticidad
47,LED-00047,Piso -2,Estacionamiento,Estacionamiento - Sector 5,BAJA
48,LED-00048,Piso -2,Estacionamiento,Estacionamiento - Sector 5,BAJA
49,LED-00049,Piso -2,Estacionamiento,Estacionamiento - Sector 5,BAJA
50,LED-00050,Piso -2,Estacionamiento,Estacionamiento - Sector 5,BAJA
51,LED-00051,Piso -2,Estacionamiento,Estacionamiento - Sector 6,BAJA
52,LED-00052,Piso -2,Estacionamiento,Estacionamiento - Sector 6,BAJA
53,LED-00053,Piso -2,Estacionamiento,Estacionamiento - Sector 6,BAJA
54,LED-00054,Piso -2,Estacionamiento,Estacionamiento - Sector 6,BAJA
55,LED-00055,Piso -2,Estacionamiento,Estacionamiento - Sector 6,BAJA
56,LED-00056,Piso -2,Estacionamiento,Estacionamiento - Sector 6,BAJA
57,LED-00057,Piso -2,Estacionamiento,Estacionamiento - Sector 6,BAJA
58,LED-00058,Piso -2,Estacionamiento,Estacionamiento - Sector 6,BAJA
59,LED-00059,Piso -2,Estacionamiento,Estacionamiento - Sector 6,BAJA
60,LED-00060,Piso -2,Estacionamiento,Estacionamiento - Sector 6,BAJA
61,LED-00061,Piso -2,Estacionamiento,Estacionamiento - Sector 7,BAJA
62,LED-00062,Piso -2,Estacionamiento,Estacionamiento - Sector 7,BAJA
63,LED-00063,Piso -2,Estacionamiento,Estacionamiento - Sector 7,BAJA
64,LED-00064,Piso -2,Estacionamiento,Estacionamiento - Sector 7,BAJA
65,LED-00065,Piso -2,Estacionamiento,Estacionamiento - Sector 7,BAJA
66,LED-00066,Piso -2,Estacionamiento,Estacionamiento - Sector 7,BAJA
67,LED-00067,Piso -2,Estacionamiento,Estacionamiento - Sector 7,BAJA
68,LED-00068,Piso -2,Estacionamiento,Estacionamiento - Sector 7,BAJA
69,LED-00069,Piso -2,Estacionamiento,Estacionamiento - Sector 7,BAJA
70,LED-00070,Piso -2,Estacionamiento,Estacionamiento - Sector 7,BAJA
71,LED-00071,Piso -2,Estacionamiento,Estacionamiento - Sector 8,BAJA
72,LED-00072,Piso -2,Estacionamiento,Estacionamiento - Sector 8,BAJA
73,LED-00073,Piso -2,Estacionamiento,Estacionamiento - Sector 8,BAJA
74,LED-00074,Piso -2,Estacionamiento,Estacionamiento - Sector 8,BAJA
75,LED-00075,Piso -2,Estacionamiento,Estacionamiento - Sector 8,BAJA
76,LED-00076,Piso -2,Estacionamiento,Estacionamiento - Sector 8,BAJA
77,LED-00077,Piso -2,Estacionamiento,Estacionamiento - Sector 8,BAJA
78,LED-00078,Piso -2,Estacionamiento,Estacionamiento - Sector 8,BAJA
79,LED-00079,Piso -2,Estacionamiento,Estacionamiento - Sector 8,BAJA
80,LED-00080,Piso -2,Estacionamiento,Estacionamiento - Sector 8,BAJA
81,LED-00081,Piso -2,Estacionamiento,Estacionamiento - Sector 9,BAJA
82,LED-00082,Piso -2,Estacionamiento,Estacionamiento - Sector 9,BAJA
83,LED-00083,Piso -2,Estacionamiento,Estacionamiento - Sector 9,BAJA
84,LED-00084,Piso -2,Estacionamiento,Estacionamiento - Sector 9,BAJA
85,LED-00085,Piso -2,Estacionamiento,Estacionamiento - Sector 9,BAJA
86,LED-00086,Piso -2,Estacionamiento,Estacionamiento - Sector 9,BAJA
87,LED-00087,Piso -2,Estacionamiento,Estacionamiento - Sector 9,BAJA
88,LED-00088,Piso -2,Estacionamiento,Estacionamiento - Sector 9,BAJA
89,LED-00089,Piso -2,Estacionamiento,Estacionamiento - Sector 9,BAJA
90,LED-00090,Piso -2,Estacionamiento,Estacionamiento - Sector 9,BAJA
91,LED-00091,Piso -2,Estacionamiento,Estacionamiento - Sector 10,BAJA
92,LED-00092,Piso -2,Estacionamiento,Estacionamiento - Sector 10,BAJA
93,LED-00093,Piso -2,Estacionamiento,Estacionamiento - Sector 10,BAJA
94,LED-00094,Piso -2,Estacionamiento,Estacionamiento - Sector 10,BAJA
95,LED-00095,Piso -2,Estacionamiento,Estacionamiento - Sector 10,BAJA
96,LED-00096,Piso -2,Estacionamiento,Estacionamiento - Sector 10,BAJA
97,LED-00097,Piso -2,Estacionamiento,Estacionamiento - Sector 10,BAJA
98,LED-00098,Piso -2,Estacionamiento,Estacionamiento - Sector 10,BAJA
99,LED-00099,Piso -2,Estacionamiento,Estacionamiento - Sector 10,BAJA
100,LED-00100,Piso -2,Estacionamiento,Estacionamiento - Sector 10,BAJA
101,LED-00101,Piso -2,Estacionamiento,Estacionamiento - Sector 11,BAJA
102,LED-00102,Piso -2,Estacionamiento,Estacionamiento - Sector 11,BAJA
103,LED-00103,Piso -2,Estacionamiento,Estacionamiento - Sector 11,BAJA
104,LED-00104,Piso -2,Estacionamiento,Estacionamiento - Sector 11,BAJA
105,LED-00105,Piso -2,Estacionamiento,Estacionamiento - Sector 11,BAJA
106,LED-00106,Piso -2,Estacionamiento,Estacionamiento - Sector 11,BAJA
107,LED-00107,Piso -2,Estacionamiento,Estacionamiento - Sector 11,BAJA
108,LED-00108,Piso -2,Estacionamiento,Estacionamiento - Sector 11,BAJA
109,LED-00109,Piso -2,Estacionamiento,Estacionamiento - Sector 11,BAJA
110,LED-00110,Piso -2,Estacionamiento,Estacionamiento - Sector 11,BAJA
111,LED-00111,Piso -2,Estacionamiento,Estacionamiento - Sector 12,BAJA
112,LED-00112,Piso -2,Estacionamiento,Estacionamiento - Sector 12,BAJA
113,LED-00113,Piso -2,Estacionamiento,Estacionamiento - Sector 12,BAJA
114,LED-00114,Piso -2,Estacionamiento,Estacionamiento - Sector 12,BAJA
115,LED-00115,Piso -2,Estacionamiento,Estacionamiento - Sector 12,BAJA
116,LED-00116,Piso -2,Estacionamiento,Estacionamiento - Sector 12,BAJA
117,LED-00117,Piso -2,Estacionamiento,Estacionamiento - Sector 12,BAJA
118,LED-00118,Piso -2,Estacionamiento,Estacionamiento - Sector 12,BAJA
119,LED-00119,Piso -2,Estacionamiento,Estacionamiento - Sector 12,BAJA
120,LED-00120,Piso -2,Estacionamiento,Estacionamiento - Sector 12,BAJA
121,LED-00121,Piso -2,Estacionamiento,Estacionamiento - Sector 13,BAJA
122,LED-00122,Piso -2,Estacionamiento,Estacionamiento - Sector 13,BAJA
123,LED-00123,Piso -2,Estacionamiento,Estacionamiento - Sector 13,BAJA
124,LED-00124,Piso -2,Estacionamiento,Estacionamiento - Sector 13,BAJA
125,LED-00125,Piso -2,Estacionamiento,Estacionamiento - Sector 13,BAJA
126,LED-00126,Piso -2,Estacionamiento,Estacionamiento - Sector 13,BAJA
127,LED-00127,Piso -2,Estacionamiento,Estacionamiento - Sector 13,BAJA
128,LED-00128,Piso -2,Estacionamiento,Estacionamiento - Sector 13,BAJA
129,LED-00129,Piso -2,Estacionamiento,Estacionamiento - Sector 13,BAJA
130,LED-00130,Piso -2,Estacionamiento,Estacionamiento - Sector 13,BAJA
131,LED-00131,Piso -2,Estacionamiento,Estacionamiento - Sector 14,BAJA
132,LED-00132,Piso -2,Estacionamiento,Estacionamiento - Sector 14,BAJA
133,LED-00133,Piso -2,Estacionamiento,Estacionamiento - Sector 14,BAJA
134,LED-00134,Piso -2,Estacionamiento,Estacionamiento - Sector 14,BAJA
135,LED-00135,Piso -2,Estacionamiento,Estacionamiento - Sector 14,BAJA
136,LED-00136,Piso -2,Estacionamiento,Estacionamiento - Sector 14,BAJA
137,LED-00137,Piso -2,Estacionamiento,Estacionamiento - Sector 14,BAJA
138,LED-00138,Piso -2,Estacionamiento,Estacionamiento - Sector 14,BAJA
139,LED-00139,Piso -2,Estacionamiento,Estacionamiento - Sector 14,BAJA
140,LED-00140,Piso -2,Estacionamiento,Estacionamiento - Sector 14,BAJA
141,LED-00141,Piso -2,Estacionamiento,Estacionamiento - Sector 15,BAJA
142,LED-00142,Piso -2,Estacionamiento,Estacionamiento - Sector 15,BAJA
143,LED-00143,Piso -2,Estacionamiento,Estacionamiento - Sector 15,BAJA
144,LED-00144,Piso -2,Estacionamiento,Estacionamiento - Sector 15,BAJA
145,LED-00145,Piso -2,Estacionamiento,Estacionamiento - Sector 15,BAJA
146,LED-00146,Piso -2,Estacionamiento,Estacionamiento - Sector 15,BAJA
147,LED-00147,Piso -2,Estacionamiento,Estacionamiento - Sector 15,BAJA
148,LED-00148,Piso -2,Estacionamiento,Estacionamiento - Sector 15,BAJA
149,LED-00149,Piso -2,Estacionamiento,Estacionamiento - Sector 15,BAJA
150,LED-00150,Piso -2,Estacionamiento,Estacionamiento - Sector 15,BAJA
151,LED-00151,Piso -2,Bodegas,Bodegas - Sector 1,BAJA
152,LED-00152,Piso -2,Bodegas,Bodegas - Sector 1,BAJA
153,LED-00153,Piso -2,Bodegas,Bodegas - Sector 1,BAJA
154,LED-00154,Piso -2,Bodegas,Bodegas - Sector 1,BAJA
155,LED-00155,Piso -2,Bodegas,Bodegas - Sector 1,BAJA
156,LED-00156,Piso -2,Bodegas,Bodegas - Sector 1,BAJA
157,LED-00157,Piso -2,Bodegas,Bodegas - Sector 1,BAJA
158,LED-00158,Piso -2,Bodegas,Bodegas - Sector 1,BAJA
159,LED-00159,Piso -2,Bodegas,Bodegas - Sector 1,BAJA
160,LED-00160,Piso -2,Bodegas,Bodegas - Sector 1,BAJA
161,LED-00161,Piso -2,Bodegas,Bodegas - Sector 2,BAJA
162,LED-00162,Piso -2,Bodegas,Bodegas - Sector 2,BAJA
163,LED-00163,Piso -2,Bodegas,Bodegas - Sector 2,BAJA
164,LED-00164,Piso -2,Bodegas,Bodegas - Sector 2,BAJA
165,LED-00165,Piso -2,Bodegas,Bodegas - Sector 2,BAJA
166,LED-00166,Piso -2,Bodegas,Bodegas - Sector 2,BAJA
167,LED-00167,Piso -2,Bodegas,Bodegas - Sector 2,BAJA
168,LED-00168,Piso -2,Bodegas,Bodegas - Sector 2,BAJA
169,LED-00169,Piso -2,Bodegas,Bodegas - Sector 2,BAJA
170,LED-00170,Piso -2,Bodegas,Bodegas - Sector 2,BAJA
171,LED-00171,Piso -2,Bodegas,Bodegas - Sector 3,BAJA
172,LED-00172,Piso -2,Bodegas,Bodegas - Sector 3,BAJA
173,LED-00173,Piso -2,Bodegas,Bodegas - Sector 3,BAJA
174,LED-00174,Piso -2,Bodegas,Bodegas - Sector 3,BAJA
175,LED-00175,Piso -2,Bodegas,Bodegas - Sector 3,BAJA
176,LED-00176,Piso -2,Bodegas,Bodegas - Sector 3,BAJA
177,LED-00177,Piso -2,Bodegas,Bodegas - Sector 3,BAJA
178,LED-00178,Piso -2,Bodegas,Bodegas - Sector 3,BAJA
179,LED-00179,Piso -2,Bodegas,Bodegas - Sector 3,BAJA
180,LED-00180,Piso -2,Bodegas,Bodegas - Sector 3,BAJA
181,LED-00181,Piso -2,Bodegas,Bodegas - Sector 4,BAJA
182,LED-00182,Piso -2,Bodegas,Bodegas - Sector 4,BAJA
183,LED-00183,Piso -2,Bodegas,Bodegas - Sector 4,BAJA
184,LED-00184,Piso -2,Bodegas,Bodegas - Sector 4,BAJA
185,LED-00185,Piso -2,Bodegas,Bodegas - Sector 4,BAJA
186,LED-00186,Piso -2,Bodegas,Bodegas - Sector 4,BAJA
187,LED-00187,Piso -2,Bodegas,Bodegas - Sector 4,BAJA
188,LED-00188,Piso -2,Bodegas,Bodegas - Sector 4,BAJA
189,LED-00189,Piso -2,Bodegas,Bodegas - Sector 4,BAJA
190,LED-00190,Piso -2,Bodegas,Bodegas - Sector 4,BAJA
191,LED-00191,Piso -2,Bodegas,Bodegas - Sector 5,BAJA
192,LED-00192,Piso -2,Bodegas,Bodegas - Sector 5,BAJA
193,LED-00193,Piso -2,Bodegas,Bodegas - Sector 5,BAJA
194,LED-00194,Piso -2,Bodegas,Bodegas - Sector 5,BAJA
195,LED-00195,Piso -2,Bodegas,Bodegas - Sector 5,BAJA
196,LED-00196,Piso -2,Bodegas,Bodegas - Sector 5,BAJA
197,LED-00197,Piso -2,Bodegas,Bodegas - Sector 5,BAJA
198,LED-00198,Piso -2,Bodegas,Bodegas - Sector 5,BAJA
199,LED-00199,Piso -2,Bodegas,Bodegas - Sector 5,BAJA
200,LED-00200,Piso -2,Bodegas,Bodegas - Sector 5,BAJA
201,LED-00201,Piso -1,Estacionamiento,Estacionamiento - Sector 1,BAJA
202,LED-00202,Piso -1,Estacionamiento,Estacionamiento - Sector 1,BAJA
203,LED-00203,Piso -1,Estacionamiento,Estacionamiento - Sector 1,BAJA
204,LED-00204,Piso -1,Estacionamiento,Estacionamiento - Sector 1,BAJA
205,LED-00205,Piso -1,Estacionamiento,Estacionamiento - Sector 1,BAJA
206,LED-00206,Piso -1,Estacionamiento,Estacionamiento - Sector 1,BAJA
207,LED-00207,Piso -1,Estacionamiento,Estacionamiento - Sector 1,BAJA
208,LED-00208,Piso -1,Estacionamiento,Estacionamiento - Sector 1,BAJA
209,LED-00209,Piso -1,Estacionamiento,Estacionamiento - Sector 1,BAJA
210,LED-00210,Piso -1,Estacionamiento,Estacionamiento - Sector 1,BAJA
211,LED-00211,Piso -1,Estacionamiento,Estacionamiento - Sector 2,BAJA
212,LED-00212,Piso -1,Estacionamiento,Estacionamiento - Sector 2,BAJA
213,LED-00213,Piso -1,Estacionamiento,Estacionamiento - Sector 2,BAJA
214,LED-00214,Piso -1,Estacionamiento,Estacionamiento - Sector 2,BAJA
215,LED-00215,Piso -1,Estacionamiento,Estacionamiento - Sector 2,BAJA
216,LED-00216,Piso -1,Estacionamiento,Estacionamiento - Sector 2,BAJA
217,LED-00217,Piso -1,Estacionamiento,Estacionamiento - Sector 2,BAJA
218,LED-00218,Piso -1,Estacionamiento,Estacionamiento - Sector 2,BAJA
219,LED-00219,Piso -1,Estacionamiento,Estacionamiento - Sector 2,BAJA
220,LED-00220,Piso -1,Estacionamiento,Estacionamiento - Sector 2,BAJA
221,LED-00221,Piso -1,Estacionamiento,Estacionamiento - Sector 3,BAJA
222,LED-00222,Piso -1,Estacionamiento,Estacionamiento - Sector 3,BAJA
223,LED-00223,Piso -1,Estacionamiento,Estacionamiento - Sector 3,BAJA
224,LED-00224,Piso -1,Estacionamiento,Estacionamiento - Sector 3,BAJA
225,LED-00225,Piso -1,Estacionamiento,Estacionamiento - Sector 3,BAJA
226,LED-00226,Piso -1,Estacionamiento,Estacionamiento - Sector 3,BAJA
227,LED-00227,Piso -1,Estacionamiento,Estacionamiento - Sector 3,BAJA
228,LED-00228,Piso -1,Estacionamiento,Estacionamiento - Sector 3,BAJA
229,LED-00229,Piso -1,Estacionamiento,Estacionamiento - Sector 3,BAJA
230,LED-00230,Piso -1,Estacionamiento,Estacionamiento - Sector 3,BAJA
231,LED-00231,Piso -1,Estacionamiento,Estacionamiento - Sector 4,BAJA
232,LED-00232,Piso -1,Estacionamiento,Estacionamiento - Sector 4,BAJA
233,LED-00233,Piso -1,Estacionamiento,Estacionamiento - Sector 4,BAJA
234,LED-00234,Piso -1,Estacionamiento,Estacionamiento - Sector 4,BAJA
235,LED-00235,Piso -1,Estacionamiento,Estacionamiento - Sector 4,BAJA
236,LED-00236,Piso -1,Estacionamiento,Estacionamiento - Sector 4,BAJA
237,LED-00237,Piso -1,Estacionamiento,Estacionamiento - Sector 4,BAJA
238,LED-00238,Piso -1,Estacionamiento,Estacionamiento - Sector 4,BAJA
239,LED-00239,Piso -1,Estacionamiento,Estacionamiento - Sector 4,BAJA
240,LED-00240,Piso -1,Estacionamiento,Estacionamiento - Sector 4,BAJA
241,LED-00241,Piso -1,Estacionamiento,Estacionamiento - Sector 5,BAJA
242,LED-00242,Piso -1,Estacionamiento,Estacionamiento - Sector 5,BAJA
243,LED-00243,Piso -1,Estacionamiento,Estacionamiento - Sector 5,BAJA
244,LED-00244,Piso -1,Estacionamiento,Estacionamiento - Sector 5,BAJA
245,LED-00245,Piso -1,Estacionamiento,Estacionamiento - Sector 5,BAJA
246,LED-00246,Piso -1,Estacionamiento,Estacionamiento - Sector 5,BAJA
247,LED-00247,Piso -1,Estacionamiento,Estacionamiento - Sector 5,BAJA
248,LED-00248,Piso -1,Estacionamiento,Estacionamiento - Sector 5,BAJA
249,LED-00249,Piso -1,Estacionamiento,Estacionamiento - Sector 5,BAJA
250,LED-00250,Piso -1,Estacionamiento,Estacionamiento - Sector 5,BAJA
251,LED-00251,Piso -1,Estacionamiento,Estacionamiento - Sector 6,BAJA
252,LED-00252,Piso -1,Estacionamiento,Estacionamiento - Sector 6,BAJA
253,LED-00253,Piso -1,Estacionamiento,Estacionamiento - Sector 6,BAJA
254,LED-00254,Piso -1,Estacionamiento,Estacionamiento - Sector 6,BAJA
255,LED-00255,Piso -1,Estacionamiento,Estacionamiento - Sector 6,BAJA
256,LED-00256,Piso -1,Estacionamiento,Estacionamiento - Sector 6,BAJA
257,LED-00257,Piso -1,Estacionamiento,Estacionamiento - Sector 6,BAJA
258,LED-00258,Piso -1,Estacionamiento,Estacionamiento - Sector 6,BAJA
259,LED-00259,Piso -1,Estacionamiento,Estacionamiento - Sector 6,BAJA
260,LED-00260,Piso -1,Estacionamiento,Estacionamiento - Sector 6,BAJA
261,LED-00261,Piso -1,Estacionamiento,Estacionamiento - Sector 7,BAJA
262,LED-00262,Piso -1,Estacionamiento,Estacionamiento - Sector 7,BAJA
263,LED-00263,Piso -1,Estacionamiento,Estacionamiento - Sector 7,BAJA
264,LED-00264,Piso -1,Estacionamiento,Estacionamiento - Sector 7,BAJA
265,LED-00265,Piso -1,Estacionamiento,Estacionamiento - Sector 7,BAJA
266,LED-00266,Piso -1,Estacionamiento,Estacionamiento - Sector 7,BAJA
267,LED-00267,Piso -1,Estacionamiento,Estacionamiento - Sector 7,BAJA
268,LED-00268,Piso -1,Estacionamiento,Estacionamiento - Sector 7,BAJA
269,LED-00269,Piso -1,Estacionamiento,Estacionamiento - Sector 7,BAJA
270,LED-00270,Piso -1,Estacionamiento,Estacionamiento - Sector 7,BAJA
271,LED-00271,Piso -1,Estacionamiento,Estacionamiento - Sector 8,BAJA
272,LED-00272,Piso -1,Estacionamiento,Estacionamiento - Sector 8,BAJA
273,LED-00273,Piso -1,Estacionamiento,Estacionamiento - Sector 8,BAJA
274,LED-00274,Piso -1,Estacionamiento,Estacionamiento - Sector 8,BAJA
275,LED-00275,Piso -1,Estacionamiento,Estacionamiento - Sector 8,BAJA
276,LED-00276,Piso -1,Estacionamiento,Estacionamiento - Sector 8,BAJA
277,LED-00277,Piso -1,Estacionamiento,Estacionamiento - Sector 8,BAJA
278,LED-00278,Piso -1,Estacionamiento,Estacionamiento - Sector 8,BAJA
279,LED-00279,Piso -1,Estacionamiento,Estacionamiento - Sector 8,BAJA
280,LED-00280,Piso -1,Estacionamiento,Estacionamiento - Sector 8,BAJA
281,LED-00281,Piso -1,Estacionamiento,Estacionamiento - Sector 9,BAJA
282,LED-00282,Piso -1,Estacionamiento,Estacionamiento - Sector 9,BAJA
283,LED-00283,Piso -1,Estacionamiento,Estacionamiento - Sector 9,BAJA
284,LED-00284,Piso -1,Estacionamiento,Estacionamiento - Sector 9,BAJA
285,LED-00285,Piso -1,Estacionamiento,Estacionamiento - Sector 9,BAJA
286,LED-00286,Piso -1,Estacionamiento,Estacionamiento - Sector 9,BAJA
287,LED-00287,Piso -1,Estacionamiento,Estacionamiento - Sector 9,BAJA
288,LED-00288,Piso -1,Estacionamiento,Estacionamiento - Sector 9,BAJA
289,LED-00289,Piso -1,Estacionamiento,Estacionamiento - Sector 9,BAJA
290,LED-00290,Piso -1,Estacionamiento,Estacionamiento - Sector 9,BAJA
291,LED-00291,Piso -1,Estacionamiento,Estacionamiento - Sector 10,BAJA
292,LED-00292,Piso -1,Estacionamiento,Estacionamiento - Sector 10,BAJA
293,LED-00293,Piso -1,Estacionamiento,Estacionamiento - Sector 10,BAJA
294,LED-00294,Piso -1,Estacionamiento,Estacionamiento - Sector 10,BAJA
295,LED-00295,Piso -1,Estacionamiento,Estacionamiento - Sector 10,BAJA
296,LED-00296,Piso -1,Estacionamiento,Estacionamiento - Sector 10,BAJA
297,LED-00297,Piso -1,Estacionamiento,Estacionamiento - Sector 10,BAJA
298,LED-00298,Piso -1,Estacionamiento,Estacionamiento - Sector 10,BAJA
299,LED-00299,Piso -1,Estacionamiento,Estacionamiento - Sector 10,BAJA
300,LED-00300,Piso -1,Estacionamiento,Estacionamiento - Sector 10,BAJA
301,LED-00301,Piso -1,Estacionamiento,Estacionamiento - Sector 11,BAJA
302,LED-00302,Piso -1,Estacionamiento,Estacionamiento - Sector 11,BAJA
303,LED-00303,Piso -1,Estacionamiento,Estacionamiento - Sector 11,BAJA
304,LED-00304,Piso -1,Estacionamiento,Estacionamiento - Sector 11,BAJA
305,LED-00305,Piso -1,Estacionamiento,Estacionamiento - Sector 11,BAJA
306,LED-00306,Piso -1,Estacionamiento,Estacionamiento - Sector 11,BAJA
307,LED-00307,Piso -1,Estacionamiento,Estacionamiento - Sector 11,BAJA
308,LED-00308,Piso -1,Estacionamiento,Estacionamiento - Sector 11,BAJA
309,LED-00309,Piso -1,Estacionamiento,Estacionamiento - Sector 11,BAJA
310,LED-00310,Piso -1,Estacionamiento,Estacionamiento - Sector 11,BAJA
311,LED-00311,Piso -1,Estacionamiento,Estacionamiento - Sector 12,BAJA
312,LED-00312,Piso -1,Estacionamiento,Estacionamiento - Sector 12,BAJA
313,LED-00313,Piso -1,Estacionamiento,Estacionamiento - Sector 12,BAJA
314,LED-00314,Piso -1,Estacionamiento,Estacionamiento - Sector 12,BAJA
315,LED-00315,Piso -1,Estacionamiento,Estacionamiento - Sector 12,BAJA
316,LED-00316,Piso -1,Estacionamiento,Estacionamiento - Sector 12,BAJA
317,LED-00317,Piso -1,Estacionamiento,Estacionamiento - Sector 12,BAJA
318,LED-00318,Piso -1,Estacionamiento,Estacionamiento - Sector 12,BAJA
319,LED-00319,Piso -1,Estacionamiento,Estacionamiento - Sector 12,BAJA
320,LED-00320,Piso -1,Estacionamiento,Estacionamiento - Sector 12,BAJA
321,LED-00321,Piso -1,Estacionamiento,Estacionamiento - Sector 13,BAJA
322,LED-00322,Piso -1,Estacionamiento,Estacionamiento - Sector 13,BAJA
323,LED-00323,Piso -1,Estacionamiento,Estacionamiento - Sector 13,BAJA
324,LED-00324,Piso -1,Estacionamiento,Estacionamiento - Sector 13,BAJA
325,LED-00325,Piso -1,Estacionamiento,Estacionamiento - Sector 13,BAJA
326,LED-00326,Piso -1,Estacionamiento,Estacionamiento - Sector 13,BAJA
327,LED-00327,Piso -1,Estacionamiento,Estacionamiento - Sector 13,BAJA
328,LED-00328,Piso -1,Estacionamiento,Estacionamiento - Sector 13,BAJA
329,LED-00329,Piso -1,Estacionamiento,Estacionamiento - Sector 13,BAJA
330,LED-00330,Piso -1,Estacionamiento,Estacionamiento - Sector 13,BAJA
331,LED-00331,Piso -1,Estacionamiento,Estacionamiento - Sector 14,BAJA
332,LED-00332,Piso -1,Estacionamiento,Estacionamiento - Sector 14,BAJA
333,LED-00333,Piso -1,Estacionamiento,Estacionamiento - Sector 14,BAJA
334,LED-00334,Piso -1,Estacionamiento,Estacionamiento - Sector 14,BAJA
335,LED-00335,Piso -1,Estacionamiento,Estacionamiento - Sector 14,BAJA
336,LED-00336,Piso -1,Estacionamiento,Estacionamiento - Sector 14,BAJA
337,LED-00337,Piso -1,Estacionamiento,Estacionamiento - Sector 14,BAJA
338,LED-00338,Piso -1,Estacionamiento,Estacionamiento - Sector 14,BAJA
339,LED-00339,Piso -1,Estacionamiento,Estacionamiento - Sector 14,BAJA
340,LED-00340,Piso -1,Estacionamiento,Estacionamiento - Sector 14,BAJA
341,LED-00341,Piso -1,Estacionamiento,Estacionamiento - Sector 15,BAJA
342,LED-00342,Piso -1,Estacionamiento,Estacionamiento - Sector 15,BAJA
343,LED-00343,Piso -1,Estacionamiento,Estacionamiento - Sector 15,BAJA
344,LED-00344,Piso -1,Estacionamiento,Estacionamiento - Sector 15,BAJA
